18/02/2006, 02/04/2006, Weather
19/05/2006, 01/07/2006, Fuel
12/10/2006, 24/11/2006, Transport
20/01/2007, 04/03/2007, Inflation
12/05/2007, 24/06/2007, Transport
14/06/2007, 27/07/2007, Weather
30/07/2007, 11/09/2007, Weather
08/09/2007, 21/10/2007, Weather
08/03/2008, 20/04/2008, Inflation
15/05/2008, 27/06/2008, Fuel
12/06/2008, 25/07/2008, Transport
05/09/2008, 18/10/2008, Weather
19/09/2008, 01/11/2008, Weather
18/12/2008, 30/01/2009, Transport
12/06/2009, 25/07/2009, Fuel
19/07/2009, 31/08/2009, Weather
02/09/2009, 15/10/2009, Hoarding
16/09/2009, 29/10/2009, Hoarding Weather
16/10/2009, 28/11/2009, Weather
07/11/2009, 20/12/2009, Weather
27/11/2009, 09/01/2010, Inflation
11/12/2009, 23/01/2010, Inflation
19/03/2010, 01/05/2010, Hoarding
25/06/2010, 07/08/2010, Fuel
17/08/2010, 29/09/2010, Weather
04/12/2010, 16/01/2011, Hoarding Weather
18/12/2010, 30/01/2011, Hoarding
14/01/2011, 26/02/2011, Hoarding Inflation
22/07/2011, 03/09/2011, Inflation
12/08/2011, 24/09/2011, Weather Hoarding
14/10/2011, 26/11/2011, Inflation Fuel
27/03/2012, 09/05/2012, Hoarding

# Testing data
30/06/2012, 12/08/2012, Weather
06/12/2012, 18/01/2013, Weather
16/01/2013, 28/02/2013, Hoarding
28/06/2013, 10/08/2013, Weather
30/07/2013, 11/09/2013, Weather
29/08/2013, 11/10/2013, Weather Hoarding
29/09/2013, 11/11/2013, Hoarding
23/10/2013, 05/12/2013, Hoarding
28/03/2014, 10/05/2014, Weather
25/05/2014, 07/07/2014, Hoarding
21/08/2014, 03/10/2014, Hoarding

#	Labelling 
#	Transport:	1
#	Weather: 	2
#	Inflation:	3
#	Fuel:		4
#	Hoarding:	5
#
#
#	Label Set: [2,4,1,3,1,2,2,2,3,4,1,2,2,1,4,2,5,5,2,2,3,1,5,4,2,5,5,5,3,5,3,5,    2,2,5,2,2,5,5,5,2,5,5]
