01/01/2006, 11/02/2006
12/02/2006, 25/03/2006
26/03/2006, 06/05/2006
07/05/2006, 17/06/2006
18/06/2006, 29/07/2006
30/07/2006, 09/09/2006
10/09/2006, 21/10/2006
22/10/2006, 06/11/2006
03/12/2006, 13/01/2007
14/01/2007, 15/02/2007
03/03/2007, 13/04/2007
14/04/2007, 25/05/2007
26/05/2007, 04/07/2007
13/07/2007, 23/08/2007
24/08/2007, 04/10/2007
05/10/2007, 15/11/2007
16/11/2007, 27/12/2007
28/12/2007, 07/02/2008
08/02/2008, 20/03/2008
21/03/2008, 01/05/2008
02/05/2008, 12/06/2008
13/06/2008, 24/07/2008
25/07/2008, 04/09/2008
14/09/2008, 25/10/2008
26/10/2008, 06/12/2008
07/12/2008, 12/01/2009
20/01/2009, 02/03/2009
04/03/2009, 14/04/2009
15/04/2009, 26/05/2009
27/05/2009, 07/07/2009
08/07/2009, 18/08/2009
19/08/2009, 29/09/2009
30/09/2009, 10/11/2009
11/11/2009, 23/11/2009
23/12/2009, 02/02/2010
03/02/2010, 16/03/2010
17/03/2010, 27/04/2010
28/04/2010, 07/06/2010
10/06/2010, 21/07/2010
22/07/2010, 01/09/2010
02/09/2010, 12/10/2010
18/10/2010, 23/11/2010
07/12/2010, 01/01/2011
22/01/2011, 28/02/2011
09/03/2011, 26/03/2011
20/04/2011, 30/05/2011
03/06/2011, 14/07/2011
15/07/2011, 23/08/2011
15/09/2011, 26/10/2011
27/10/2011, 07/12/2011
08/12/2011, 16/01/2012
20/01/2012, 01/03/2012
02/03/2012, 12/04/2012
13/04/2012, 21/05/2012
23/06/2012, 03/08/2012
04/08/2012, 14/09/2012
15/09/2012, 26/10/2012
30/10/2012, 03/12/2012
24/12/2012, 31/01/2013
05/02/2013, 06/03/2013
26/03/2013, 20/04/2013
28/05/2013, 01/07/2013
17/07/2013, 22/08/2013
04/09/2013, 16/09/2013
30/10/2013, 19/11/2013
12/12/2013, 22/01/2014
23/01/2014, 05/03/2014
06/03/2014, 29/03/2014
03/06/2014, 13/06/2014
17/07/2014, 15/08/2014
05/09/2014, 16/10/2014
17/10/2014, 20/11/2014
06/01/2015, 16/02/2015
17/02/2015, 30/03/2015
31/03/2015, 11/05/2015
12/05/2015, 22/06/2015
23/06/2015, 23/06/2015
