19/02/2006, 02/04/2006, Weather
20/05/2006, 01/07/2006, Fuel
13/10/2006, 24/11/2006, Transport
21/01/2007, 04/03/2007, Inflation
13/05/2007, 24/06/2007, Transport
15/06/2007, 27/07/2007, Weather
31/07/2007, 11/09/2007, Weather
09/09/2007, 21/10/2007, Weather
09/03/2008, 20/04/2008, Inflation
16/05/2008, 27/06/2008, Fuel
13/06/2008, 25/07/2008, Transport
06/09/2008, 18/10/2008, Weather
20/09/2008, 01/11/2008, Weather
19/12/2008, 30/01/2009, Transport
13/06/2009, 25/07/2009, Fuel
20/07/2009, 31/08/2009, Weather
03/09/2009, 15/10/2009, Hoarding
17/09/2009, 29/10/2009, Hoarding Weather
17/10/2009, 28/11/2009, Weather
08/11/2009, 20/12/2009, Weather
28/11/2009, 09/01/2010, Inflation
12/12/2009, 23/01/2010, Inflation
20/03/2010, 01/05/2010, Hoarding
26/06/2010, 07/08/2010, Fuel
18/08/2010, 29/09/2010, Weather
05/12/2010, 16/01/2011, Hoarding Weather
19/12/2010, 30/01/2011, Hoarding
15/01/2011, 26/02/2011, Hoarding Inflation
23/07/2011, 03/09/2011, Inflation
13/08/2011, 24/09/2011, Weather Hoarding
15/10/2011, 26/11/2011, Inflation Fuel
28/03/2012, 09/05/2012, Hoarding
01/07/2012, 12/08/2012, Weather
07/12/2012, 18/01/2013, Weather
17/01/2013, 28/02/2013, Hoarding
29/06/2013, 10/08/2013, Weather
31/07/2013, 11/09/2013, Weather
30/08/2013, 11/10/2013, Weather Hoarding
30/09/2013, 11/11/2013, Hoarding
24/10/2013, 05/12/2013, Hoarding
29/03/2014, 10/05/2014, Weather
26/05/2014, 07/07/2014, Hoarding
22/08/2014, 03/10/2014, Hoarding
