18/02/2006, 01/04/2006, Weather
19/05/2006, 30/06/2006, Fuel
12/10/2006, 23/11/2006, Transport
20/01/2007, 03/03/2007, Inflation
12/05/2007, 23/06/2007, Transport
14/06/2007, 26/07/2007, Weather
30/07/2007, 10/09/2007, Weather
08/09/2007, 20/10/2007, Weather
08/03/2008, 19/04/2008, Inflation
15/05/2008, 26/06/2008, Fuel
12/06/2008, 24/07/2008, Transport
05/09/2008, 17/10/2008, Weather
19/09/2008, 31/10/2008, Weather
18/12/2008, 29/01/2009, Transport
12/06/2009, 24/07/2009, Fuel
19/07/2009, 30/08/2009, Weather
02/09/2009, 14/10/2009, Hoarding
16/09/2009, 28/10/2009, Hoarding Weather
16/10/2009, 27/11/2009, Weather
07/11/2009, 19/12/2009, Weather
27/11/2009, 08/01/2010, Inflation
11/12/2009, 22/01/2010, Inflation
19/03/2010, 30/04/2010, Hoarding
25/06/2010, 06/08/2010, Fuel
17/08/2010, 28/09/2010, Weather
04/12/2010, 15/01/2011, Hoarding Weather
18/12/2010, 29/01/2011, Hoarding
14/01/2011, 25/02/2011, Hoarding Inflation
22/07/2011, 02/09/2011, Inflation
12/08/2011, 23/09/2011, Weather Hoarding
14/10/2011, 25/11/2011, Inflation Fuel
27/03/2012, 08/05/2012, Hoarding
30/06/2012, 11/08/2012, Weather
06/12/2012, 17/01/2013, Weather
16/01/2013, 27/02/2013, Hoarding
28/06/2013, 09/08/2013, Weather
30/07/2013, 10/09/2013, Weather
29/08/2013, 10/10/2013, Weather Hoarding
29/09/2013, 10/11/2013, Hoarding
23/10/2013, 04/12/2013, Hoarding
28/03/2014, 09/05/2014, Weather
25/05/2014, 06/07/2014, Hoarding
21/08/2014, 02/10/2014, Hoarding
