18/02/2006, 01/04/2006, Weather
22/03/2006, 03/05/2006, Misc
19/05/2006, 30/06/2006, Fuel
26/10/2006, 23/11/2006, Strike
04/01/2007, 15/02/2007, Export
20/01/2007, 03/03/2007, Inflation Export
15/05/2007, 26/06/2007, Transport
14/06/2007, 26/07/2007, Weather
30/07/2007, 10/09/2007, Weather
08/09/2007, 20/10/2007, Weather
08/03/2008, 19/04/2008, Inflation
15/03/2008, 26/04/2008, Inflation
15/05/2008, 26/06/2008, Fuel
12/06/2008, 24/07/2008, Transport
05/09/2008, 17/10/2008, Weather
19/09/2008, 31/10/2008, Weather
18/12/2008, 29/01/2009, Transport
12/06/2009, 24/07/2009, Fuel
19/07/2009, 30/08/2009, Weather
02/09/2009, 14/10/2009, Hoarding
16/09/2009, 28/10/2009, Hoarding
16/10/2009, 27/11/2009, Weather
23/10/2009, 04/12/2009, Inflation
07/11/2009, 19/12/2009, Misc
13/11/2009, 25/12/2009, Inflation
24/11/2009, 05/01/2010, Inflation
11/12/2009, 22/01/2010, Inflation
01/01/2010, 12/02/2010, Misc
19/03/2010, 30/04/2010, Hoarding
09/04/2010, 21/05/2010, Misc
25/06/2010, 06/08/2010, Fuel
17/08/2010, 28/09/2010, Weather
30/08/2010, 11/10/2010, Weather
03/10/2010, 14/11/2010, Inflation
01/12/2010, 12/01/2011, Weather
02/12/2010, 13/01/2011, Hoarding
06/12/2010, 17/01/2011, Hoarding
10/12/2010, 21/01/2011, Inflation
12/12/2010, 23/01/2011, Weather
18/12/2010, 29/01/2011, Hoarding
22/01/2011, 05/03/2011, Hoarding
07/01/2011, 18/02/2011, Inflation
14/01/2011, 25/02/2011, Hoarding
14/01/2011, 25/02/2011, Weather
28/01/2011, 11/03/2011, Hoarding
18/02/2011, 01/04/2011, Misc
08/04/2011, 20/05/2011, Inflation
22/07/2011, 02/09/2011, Inflation
05/08/2011, 16/09/2011, Inflation
12/08/2011, 23/09/2011, Weather 
12/08/2011, 23/09/2011, Hoarding 
14/10/2011, 25/11/2011, Inflation 
09/12/2011, 20/01/2012, Misc
23/12/2011, 03/02/2012, Misc
27/03/2012, 08/05/2012, Hoarding
30/06/2012, 11/08/2012, Weather
06/12/2012, 17/01/2013, Hoarding
14/01/2013, 25/02/2013, Hoarding
28/06/2013, 09/08/2013, Weather
24/07/2013, 04/09/2013, Hoarding
04/08/2013, 15/09/2013, Hoarding 
25/08/2013, 06/10/2013, Weather 
29/08/2013, 10/10/2013, Hoarding
31/07/2013, 11/09/2013, Misc
27/09/2013, 08/11/2013, Hoarding 
02/10/2013, 13/11/2013, Hoarding 
16/10/2013, 27/11/2013, Weather 
25/10/2013, 06/12/2013, Hoarding 
13/11/2013, 25/12/2013, Misc
27/11/2013, 08/01/2014, Misc
28/03/2014, 09/05/2014, Weather
07/05/2014, 18/06/2014, Inflation
21/05/2014, 02/07/2014, Weather
29/05/2014, 10/07/2014, Hoarding
10/06/2014, 22/07/2014, Hoarding
12/06/2014, 24/07/2014, Weather 
16/06/2014, 28/07/2014, Hoarding Export
05/07/2014, 16/08/2014, Weather
21/08/2014, 02/10/2014, Hoarding 
