01/06/2006, 13/07/2006, Weather
15/10/2006, 26/11/2006, Transport
10/12/2006, 21/01/2007, Transport
24/01/2007, 07/03/2007, Weather
03/08/2007, 14/09/2007, Weather
14/09/2007, 26/10/2007, Weather
13/03/2008, 24/04/2008, Inflation Hoarding
20/05/2008, 01/07/2008, Fuel
26/06/2008, 07/08/2008, Inflation
16/12/2008, 27/01/2009, Transport
28/06/2009, 09/08/2009, Weather Hoarding
06/11/2009, 18/12/2009, Inflation Hoarding
24/12/2009, 04/02/2010, Inflation Hoarding
26/06/2010, 07/08/2010, Inflation
04/09/2010, 16/10/2010, Weather
22/10/2010, 03/12/2010, Weather
01/12/2010, 12/01/2011, Weather Hoarding
20/12/2010, 31/01/2011, Weather Hoarding
26/04/2011, 07/06/2011, Fuel
20/07/2011, 31/08/2011, Inflation
25/03/2012, 06/05/2012, Fuel
06/07/2012, 17/08/2012, Hoarding
26/08/2012, 07/10/2012, Fuel
13/01/2013, 24/02/2013, Weather
31/07/2013, 11/09/2013, Hoarding
31/08/2013, 12/10/2013, Weather Hoarding
03/10/2013, 14/11/2013, Hoarding
21/12/2013, 01/02/2014, Hoarding
13/02/2014, 27/03/2014, Weather
28/03/2014, 09/05/2014, Weather
