18/02/2006, 01/04/2006, Weather
26/05/2006, 07/07/2006, Weather
22/10/2006, 03/12/2006, Weather
20/01/2007, 03/03/2007, Inflation
06/02/2007, 20/03/2007, Hoarding
06/06/2007, 18/07/2007, Transport
30/07/2007, 10/09/2007, Weather
04/09/2007, 16/10/2007, Hoarding
23/09/2007, 04/11/2007, Weather
17/03/2008, 28/04/2008, Hoarding
15/05/2008, 26/06/2008, Weather
01/11/2008, 13/12/2008, Weather
16/12/2008, 27/01/2009, Transport Fuel Weather
11/06/2009, 23/07/2009, Fuel
16/09/2009, 28/10/2009, Weather
23/10/2009, 04/12/2009, Inflation
27/11/2009, 08/01/2010, Weather
25/12/2009, 05/02/2010, Inflation
30/04/2010, 11/06/2010, Inflation
05/06/2010, 17/07/2010, Transport
04/10/2010, 15/11/2010, Transport
26/10/2010, 07/12/2010, Weather
30/11/2010, 11/01/2011, Hoarding
25/12/2010, 05/02/2011, Hoarding
01/04/2011, 13/05/2011, Inflation
25/06/2011, 06/08/2011, Inflation
22/07/2011, 02/09/2011, Inflation Weather
20/08/2011, 01/10/2011, Hoarding
14/10/2011, 25/11/2011, Inflation
22/12/2012, 02/02/2013, Hoarding
09/06/2013, 21/07/2013, Hoarding
25/07/2013, 05/09/2013, Hoarding Weather
28/08/2013, 09/10/2013, Weather Hoarding
26/09/2013, 07/11/2013, Hoarding
12/11/2013, 24/12/2013, Hoarding Weather
19/01/2014, 02/03/2014, Hoarding
28/03/2014, 09/05/2014, Weather
22/05/2014, 03/07/2014, Hoarding
24/06/2014, 05/08/2014, Hoarding Weather
21/08/2014, 02/10/2014, Weather Hoarding
