2006-02-19, 2006-04-02, Weather
2006-05-27, 2006-07-08, Weather
2006-08-10, 2006-09-21, NormalR
2006-10-23, 2006-12-04, Weather
2006-12-08, 2007-01-19, NormalR
2007-01-21, 2007-03-04, Inflation
2007-02-07, 2007-03-21, Hoarding
2007-06-07, 2007-07-19, Transport
2007-07-31, 2007-09-11, Weather
2007-09-05, 2007-10-17, Hoarding
2007-09-24, 2007-11-05, Weather
2007-12-13, 2008-01-24, NormalR
2008-03-18, 2008-04-29, Hoarding
2008-05-16, 2008-06-27, Weather
2008-08-29, 2008-10-10, NormalR
2008-11-02, 2008-12-14, Weather
2008-12-17, 2009-01-28, Transport Fuel Weather
2009-06-12, 2009-07-24, Fuel
2009-09-17, 2009-10-29, Weather
2009-10-24, 2009-12-05, Inflation
2009-11-28, 2010-01-09, Weather
2009-12-26, 2010-02-06, Inflation
2010-05-01, 2010-06-12, Inflation
2010-06-06, 2010-07-18, Transport
2010-10-05, 2010-11-16, Transport
2010-10-27, 2010-12-08, Weather
2010-12-01, 2011-01-12, Hoarding
2010-12-26, 2011-02-06, Hoarding
2011-04-02, 2011-05-14, Inflation
2011-06-26, 2011-08-07, Inflation
2011-07-23, 2011-09-03, Inflation Weather
2011-08-21, 2011-10-02, Hoarding
2011-10-15, 2011-11-26, Inflation
2011-12-02, 2012-01-13, NormalR
2012-01-11, 2012-02-22, NormalR
2012-08-08, 2012-09-19, NormalR
2012-12-23, 2013-02-03, Hoarding
2013-06-10, 2013-07-22, Hoarding
2013-07-26, 2013-09-06, Hoarding Weather
2013-08-29, 2013-10-10, Weather Hoarding
2013-09-27, 2013-11-08, Hoarding
2013-11-13, 2013-12-25, Hoarding Weather
2014-01-20, 2014-03-03, Hoarding
2014-03-29, 2014-05-10, Weather
2014-05-23, 2014-07-04, Hoarding
2014-06-25, 2014-08-06, Hoarding Weather
2014-08-22, 2014-10-03, Weather Hoarding
2014-10-07, 2014-11-18, NormalR
2014-11-26, 2015-01-07, NormalR
