2006-01-22, 2006-03-05, NormalR
2006-03-08, 2006-04-19, Normal
2006-06-01, 2006-07-13, Weather
2006-08-05, 2006-09-16, NormalR
2006-10-15, 2006-11-26, Transport
2006-12-10, 2007-01-21, Transport
2007-01-24, 2007-03-07, Weather
2007-03-18, 2007-04-29, Normal
2007-05-02, 2007-06-13, Normal
2007-06-16, 2007-07-28, Normal
2007-08-03, 2007-09-14, Weather
2007-09-14, 2007-10-26, Weather
2007-10-29, 2007-12-10, NormalR
2007-12-13, 2008-01-24, NormalR
2008-01-27, 2008-03-09, NormalR
2008-03-13, 2008-04-24, Inflation Hoarding
2008-05-20, 2008-07-01, Fuel
2008-06-26, 2008-08-07, Inflation
2008-09-08, 2008-10-20, NormalR
2008-10-23, 2008-12-04, NormalR
2008-12-16, 2009-01-27, Transport
2009-02-05, 2009-03-19, Normal
2009-03-22, 2009-05-03, Normal
2009-05-06, 2009-06-17, Normal
2009-06-28, 2009-08-09, Weather Hoarding
2009-08-19, 2009-09-30, NormalR
2009-11-06, 2009-12-18, Inflation Hoarding
2009-12-24, 2010-02-04, Inflation Hoarding
2010-02-15, 2010-03-29, Normal
2010-04-01, 2010-05-13, Normal
2010-06-26, 2010-08-07, Inflation
2010-09-04, 2010-10-16, Weather
2010-10-22, 2010-12-03, Weather
2010-12-01, 2011-01-12, Weather Hoarding
2010-12-20, 2011-01-31, Weather Hoarding
2011-02-10, 2011-03-24, Normal
2011-04-26, 2011-06-07, Fuel
2011-07-20, 2011-08-31, Inflation
2011-11-07, 2011-12-19, NormalR
2011-12-22, 2012-02-02, NormalR
2012-02-05, 2012-03-18, Normal
2012-03-25, 2012-05-06, Fuel
2012-07-06, 2012-08-17, Hoarding
2012-08-26, 2012-10-07, Fuel
2012-10-17, 2012-11-28, NormalR
2012-12-01, 2013-01-12, NormalR
2013-01-13, 2013-02-24, Weather
2013-03-01, 2013-04-12, Normal
2013-05-30, 2013-07-11, Normal
2013-07-31, 2013-09-11, Hoarding
2013-08-31, 2013-10-12, Weather Hoarding
2013-10-03, 2013-11-14, Hoarding
2013-12-21, 2014-02-01, Hoarding
2014-02-13, 2014-03-27, Weather
2014-03-28, 2014-05-09, Weather
2014-05-25, 2014-07-06, Normal
2014-08-08, 2014-09-19, NormalR
2014-09-22, 2014-11-03, NormalR
2014-11-06, 2014-12-18, NormalR
2014-12-21, 2015-02-01, NormalR
2015-02-24, 2015-04-07, Inflation
2015-04-20, 2015-06-01, Normal
2015-06-06, 2015-07-18, Weather
2015-07-13, 2015-08-24, Weather
2015-08-09, 2015-09-20, Hoarding
2015-10-02, 2015-11-13, NormalR
2015-11-16, 2015-12-28, NormalR
2015-12-31, 2016-02-11, NormalR
2016-02-14, 2016-03-27, Normal
2016-03-30, 2016-05-11, Normal
2016-05-14, 2016-06-25, Normal
2016-07-04, 2016-08-15, Inflation
2016-08-27, 2016-10-08, NormalR
2016-10-11, 2016-11-22, NormalR
2016-11-25, 2017-01-06, NormalR
2017-01-09, 2017-02-20, NormalR
2017-02-23, 2017-04-06, Normal
2017-04-09, 2017-05-21, Normal
2017-05-24, 2017-07-05, Normal
2017-07-09, 2017-08-20, Weather
2017-08-20, 2017-10-01, Hoarding
2017-09-24, 2017-11-05, Weather
