2006-02-19, 2006-04-02, Weather
2006-04-07, 2006-05-19, Normal
2006-05-27, 2006-07-08, Weather
2006-08-05, 2006-09-16, NormalR
2006-10-23, 2006-12-04, Weather
2007-01-21, 2007-03-04, Inflation
2007-02-07, 2007-03-21, Hoarding
2007-04-02, 2007-05-14, Normal
2007-06-07, 2007-07-19, Transport
2007-07-31, 2007-09-11, Weather
2007-09-05, 2007-10-17, Hoarding
2007-09-24, 2007-11-05, Weather
2007-11-13, 2007-12-25, NormalR
2007-12-28, 2008-02-08, NormalR
2008-03-18, 2008-04-29, Hoarding
2008-05-16, 2008-06-27, Weather
2008-08-09, 2008-09-20, NormalR
2008-11-02, 2008-12-14, Weather
2008-12-17, 2009-01-28, Transport Fuel Weather
2009-02-05, 2009-03-19, Normal
2009-03-22, 2009-05-03, Normal
2009-06-12, 2009-07-24, Fuel
2009-08-04, 2009-09-15, NormalR
2009-09-17, 2009-10-29, Weather
2009-10-24, 2009-12-05, Inflation
2009-11-28, 2010-01-09, Weather
2009-12-26, 2010-02-06, Inflation
2010-02-15, 2010-03-29, Normal
2010-05-01, 2010-06-12, Inflation
2010-06-06, 2010-07-18, Transport
2010-08-14, 2010-09-25, NormalR
2010-10-05, 2010-11-16, Transport
2010-10-27, 2010-12-08, Weather
2010-12-01, 2011-01-12, Hoarding
2010-12-26, 2011-02-06, Hoarding
2011-02-10, 2011-03-24, Normal
2011-04-02, 2011-05-14, Inflation
2011-06-26, 2011-08-07, Inflation
2011-07-23, 2011-09-03, Inflation Weather
2011-08-21, 2011-10-02, Hoarding
2011-10-15, 2011-11-26, Inflation
2011-12-07, 2012-01-18, NormalR
2012-01-21, 2012-03-03, NormalR
2012-03-06, 2012-04-17, Normal
2012-04-20, 2012-06-01, Normal
2012-06-04, 2012-07-16, Normal
2012-08-03, 2012-09-14, NormalR
2012-09-17, 2012-10-29, NormalR
2012-11-01, 2012-12-13, NormalR
2012-12-23, 2013-02-03, Hoarding
2013-02-14, 2013-03-28, Normal
2013-03-31, 2013-05-12, Normal
2013-06-10, 2013-07-22, Hoarding
2013-07-26, 2013-09-06, Hoarding Weather
2013-08-29, 2013-10-10, Weather Hoarding
2013-09-27, 2013-11-08, Hoarding
2013-11-13, 2013-12-25, Hoarding Weather
2014-01-20, 2014-03-03, Hoarding
2014-03-29, 2014-05-10, Weather
2014-05-23, 2014-07-04, Hoarding
2014-06-25, 2014-08-06, Hoarding Weather
2014-08-22, 2014-10-03, Weather Hoarding
2014-10-07, 2014-11-18, NormalR
2014-11-21, 2015-01-02, NormalR
2015-01-05, 2015-02-16, NormalR
2015-03-05, 2015-04-16, Inflation
2015-04-20, 2015-06-01, Normal
2015-06-11, 2015-07-23, Weather
2015-07-06, 2015-08-17, Hoarding
2015-08-18, 2015-09-29, Weather
2015-09-19, 2015-10-31, Hoarding
2015-11-01, 2015-12-13, NormalR
2015-12-25, 2016-02-05, Inflation
2016-02-12, 2016-03-25, Weather
2016-03-15, 2016-04-26, Transport
2016-04-03, 2016-05-15, Hoarding
2016-05-18, 2016-06-29, Hoarding
2016-06-07, 2016-07-19, Weather
2016-07-23, 2016-09-03, Transport
2016-09-16, 2016-10-28, Weather
2016-09-30, 2016-11-11, Weather
2016-10-18, 2016-11-29, Weather
2016-12-10, 2017-01-21, NormalR
2017-01-24, 2017-03-07, NormalR
2017-05-20, 2017-07-01, Transport
2017-07-14, 2017-08-25, Hoarding
2017-08-15, 2017-09-26, Hoarding
2017-09-23, 2017-11-04, Weather
