05/03/2015, 16/04/2015, Inflation
11/06/2015, 23/07/2015, Weather
06/07/2015, 17/08/2015, Hoarding
18/08/2015, 29/09/2015, Weather
19/09/2015, 31/10/2015, Hoarding
25/12/2015, 05/02/2016, Inflation
12/02/2016, 25/03/2016, Weather
15/03/2016, 26/04/2016, Strike
03/04/2016, 15/05/2016, Hoarding
18/05/2016, 29/06/2016, Hoarding
07/06/2016, 19/07/2016, Weather
23/07/2016, 03/09/2016, Strike
16/09/2016, 28/10/2016, Weather
30/09/2016, 11/11/2016, Weather
18/10/2016, 29/11/2016, Weather
11/11/2016, 23/12/2016, Demonetisation
20/05/2017, 01/07/2017, Strike
14/07/2017, 25/08/2017, Hoarding
15/08/2017, 26/09/2017, Hoarding
23/09/2017, 04/11/2017, Weather
