Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Azadpur,16/12/2006,1356, ,NR,NR,NR,
,17/12/2006,5,Other,400,600,500,
,18/12/2006,1,Onion,250,1050,675,
,,,Other,400,500,450,
,19/12/2006,1.4,Other,400,600,500,
,21/12/2006,5,Other,400,500,450,
Keshopur,02/12/2006,53.3,Other,550,675,613,
,03/12/2006,84.75,Other,625,875,750,
,04/12/2006,51.65,Other,550,700,625,
,05/12/2006,110.85,Other,550,700,625,
,07/12/2006,46.35,Other,550,700,625,
,08/12/2006,43.75,Other,550,700,625,
,14/12/2006,42.05,Other,1000,1125,1063,
,15/12/2006,73.05,Other,500,563,531,
,23/12/2006,66.8,Other,875,1000,938,
,24/12/2006,66.55,Other,900,1000,950,
,25/12/2006,64.65,Other,625,875,750,
,28/12/2006,33.58,Other,650,850,750,
,29/12/2006,107.84,Other,900,1050,975,
,31/12/2006,48.95,Other,850,950,900,
Narela,01/12/2006,5.2, ,NR,NR,NR,
,05/12/2006,4, ,NR,NR,NR,
,06/12/2006,6, ,NR,NR,NR,
,08/12/2006,2.05, ,NR,NR,NR,
,11/12/2006,2, ,NR,NR,NR,
,12/12/2006,2, ,NR,NR,NR,
,13/12/2006,4, ,NR,NR,NR,
,14/12/2006,2.05, ,NR,NR,NR,
,15/12/2006,2.5, ,NR,NR,NR,
,18/12/2006,4, ,NR,NR,NR,
,19/12/2006,5.8, ,NR,NR,NR,
,22/12/2006,4.5, ,NR,NR,NR,
,26/12/2006,3.86, ,NR,NR,NR,
,27/12/2006,4.08, ,NR,NR,NR,
,28/12/2006,3.5, ,NR,NR,NR,
Shahdara,01/12/2006,42.6,Onion,300,400,350,
,02/12/2006,45.8,Onion,300,400,350,
,03/12/2006,27.2,Onion,300,400,350,
,04/12/2006,15.4,Onion,300,400,350,
,05/12/2006,36.3,Onion,300,400,350,
,07/12/2006,45.9,Onion,300,400,400,
,08/12/2006,29.6,Onion,300,400,350,
,09/12/2006,14.6,Onion,300,400,350,
,10/12/2006,16,Onion,300,400,350,
,11/12/2006,22.4,Onion,300,400,350,
,14/12/2006,44.6,Onion,400,600,500,
,15/12/2006,72.6,Onion,400,600,500,
,16/12/2006,56.6,Onion,400,600,500,
,17/12/2006,25.6,Onion,400,600,500,
,18/12/2006,43,Onion,350,500,400,
,19/12/2006,23.5,Onion,350,500,400,
,20/12/2006,46.1,Onion,500,700,600,
,21/12/2006,43.2,Onion,600,800,700,
,22/12/2006,36.9,Onion,600,800,700,
,24/12/2006,46.5,Onion,700,900,800,
,25/12/2006,26.3, ,NR,NR,NR,
,26/12/2006,33.3,Onion,600,700,650,
,28/12/2006,16.7,Onion,600,700,650,
,29/12/2006,42.2,Onion,650,750,700,
,31/12/2006,8.1,Onion,600,800,700,
