Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,04/10/2016,28,Onion,150,400,300,
,13/10/2016,10,Onion,200,200,200,
,14/10/2016,16,Onion,300,500,400,
,21/10/2016,12,Onion,150,300,230,
,22/10/2016,20,Onion,100,300,200,
,25/10/2016,41,Onion,150,400,325,
Bagalakot,01/10/2016,395,Onion,250,700,450,
,04/10/2016,524,Onion,300,750,450,
,08/10/2016,748,Onion,350,750,450,
,11/10/2016,211,Onion,300,700,400,
,15/10/2016,592,Onion,350,900,600,
,18/10/2016,812,Onion,250,1000,700,
,22/10/2016,1084,Onion,300,750,450,
,25/10/2016,929,Onion,250,750,450,
Bagepalli,28/10/2016,4,Onion,600,850,780,
Bangalore,01/10/2016,8910,Bangalore-Samall,100,300,200,
,,,Local,400,600,500,
,,,Onion,700,950,825,
,,,Puna,700,900,800,
,03/10/2016,6022,Bangalore-Samall,100,300,200,
,,,Local,400,650,525,
,,,Onion,700,1000,850,
,,,Puna,800,900,850,
,04/10/2016,5186,Bangalore-Samall,100,300,200,
,,,Local,400,600,500,
,,,Onion,700,1000,850,
,,,Puna,600,900,750,
,05/10/2016,4504,Bangalore-Samall,100,300,200,
,,,Local,400,600,500,
,,,Onion,700,1000,850,
,,,Puna,600,900,750,
,06/10/2016,5300,Bangalore-Samall,100,300,200,
,,,Local,400,650,525,
,,,Onion,700,1000,850,
,,,Puna,600,1100,850,
,07/10/2016,6063,Bangalore-Samall,100,300,200,
,,,Local,500,700,600,
,,,Onion,700,1000,850,
,,,Puna,700,1100,900,
,13/10/2016,22012,Bangalore-Samall,100,400,250,
,,,Local,500,750,625,
,,,Onion,900,1200,1050,
,,,Puna,800,1100,950,
,14/10/2016,6333,Bangalore-Samall,100,400,250,
,,,Local,500,750,625,
,,,Onion,900,1200,1050,
,,,Puna,800,1100,950,
,17/10/2016,18239,Bangalore-Samall,150,500,325,
,,,Local,500,800,650,
,,,Onion,800,1100,950,
,,,Puna,800,1100,950,
,18/10/2016,9599,Bangalore-Samall,100,500,300,
,,,Local,500,800,650,
,,,Onion,800,1100,950,
,,,Puna,800,1100,950,
,19/10/2016,8795,Bangalore-Samall,140,500,320,
,,,Local,700,800,750,
,,,Onion,800,1200,1000,
,,,Puna,800,1100,950,
,20/10/2016,5833,Bangalore-Samall,100,500,300,
,,,Local,500,800,650,
,,,Onion,800,1100,950,
,,,Puna,800,1100,950,
,21/10/2016,10050,Bangalore-Samall,100,500,300,
,,,Local,500,700,600,
,,,Onion,800,1000,900,
,,,Puna,800,1100,950,
,22/10/2016,8784,Bangalore-Samall,100,400,250,
,,,Local,500,700,600,
,,,Onion,800,1000,900,
,,,Puna,800,1100,950,
,24/10/2016,4041,Bangalore-Samall,100,400,250,
,,,Local,600,700,650,
,,,Onion,800,1000,900,
,,,Puna,800,1100,950,
,25/10/2016,10773,Bangalore-Samall,100,400,250,
,,,Local,500,600,550,
,,,Onion,800,1000,900,
,,,Puna,800,1050,925,
,26/10/2016,8338,Bangalore-Samall,100,500,300,
,,,Local,600,900,750,
,,,Onion,900,1200,1050,
,,,Puna,800,1050,925,
,27/10/2016,8794,Bangalore-Samall,100,500,300,
,,,Local,500,800,650,
,,,Onion,800,1100,950,
,,,Puna,800,1000,900,
,28/10/2016,9264,Bangalore-Samall,100,500,300,
,,,Local,500,800,650,
,,,Onion,800,1100,950,
,,,Puna,800,1000,900,
Belgaum,01/10/2016,1493,Pusa-Red,300,900,760,
,,,White,320,950,790,
,03/10/2016,4,Pusa-Red,300,900,760,
,,,White,320,1120,790,
,05/10/2016,1749,Pusa-Red,320,860,600,
,,,White,350,920,700,
,06/10/2016,208,Pusa-Red,320,860,600,
,,,White,350,920,700,
,07/10/2016,76,Pusa-Red,320,860,600,
,,,White,350,920,700,
,08/10/2016,2171,Pusa-Red,300,980,675,
,,,White,320,1000,700,
,09/10/2016,104,Pusa-Red,300,980,675,
,,,White,320,1000,700,
,12/10/2016,1446,Pusa-Red,250,1000,680,
,,,White,300,1000,670,
,13/10/2016,76,Pusa-Red,280,890,600,
,,,White,300,1000,670,
,14/10/2016,162,Pusa-Red,280,890,600,
,,,White,300,1000,670,
,15/10/2016,2596,Pusa-Red,300,985,690,
,,,White,320,1020,750,
,16/10/2016,247,Pusa-Red,300,985,690,
,,,White,320,1020,750,
,17/10/2016,11,Pusa-Red,300,985,690,
