Bahraich,01/04/2016,39,Red,915,950,935,
Bahraich,02/04/2016,37.5,Red,935,965,950,
Bahraich,04/04/2016,36,Red,940,985,960,
Bahraich,05/04/2016,35.5,Red,950,980,965,
Bahraich,06/04/2016,35,Red,950,985,970,
Bahraich,09/04/2016,36,Red,960,995,980,
Bahraich,11/04/2016,36,Red,970,1010,990,
Bahraich,12/04/2016,35, ,NR,NR,NR,
Bahraich,13/04/2016,34, ,NR,NR,NR,
Bahraich,14/04/2016,35, ,NR,NR,NR,
Bahraich,15/04/2016,40, ,NR,NR,NR,
Bahraich,16/04/2016,38, ,NR,NR,NR,
Bahraich,18/04/2016,39.5,Red,975,1010,990,
Bahraich,19/04/2016,38.5,Red,980,1015,995,
Bahraich,20/04/2016,39.5,Red,970,1010,990,
Bahraich,22/04/2016,39,Red,975,1010,990,
Bahraich,23/04/2016,40,Red,970,1000,985,
Bahraich,25/04/2016,45,Red,960,1000,980,
Bahraich,26/04/2016,50,Red,955,990,975,
Bahraich,27/04/2016,57.5,Red,950,990,970,
Bahraich,28/04/2016,56,Red,960,990,975,
Bahraich,29/04/2016,54.5,Red,975,1010,990,
Bahraich,30/04/2016,55,Red,970,1000,985,
