Bahraich,01/01/2016,65,Red,1425,1470,1450,
Bahraich,02/01/2016,70, ,NR,NR,NR,
Bahraich,04/01/2016,67.5, ,NR,NR,NR,
Bahraich,05/01/2016,68,Red,1400,1440,1420,
Bahraich,06/01/2016,695, ,NR,NR,NR,
Bahraich,07/01/2016,70, ,NR,NR,NR,
Bahraich,08/01/2016,6.8,Red,1410,1440,1425,
Bahraich,09/01/2016,58.5,Red,1400,1415,1415,
Bahraich,11/01/2016,58,Red,1400,1435,1420,
Bahraich,12/01/2016,59,Red,1400,1430,1415,
Bahraich,13/01/2016,60,Red,1400,1420,1410,
Bahraich,14/01/2016,55, ,NR,NR,NR,
Bahraich,16/01/2016,55, ,NR,NR,NR,
Bahraich,18/01/2016,51.5, ,NR,NR,NR,
Bahraich,19/01/2016,59, ,NR,NR,NR,
Bahraich,20/01/2016,56, ,NR,NR,NR,
Bahraich,21/01/2016,60,Red,1390,1430,1410,
Bahraich,22/01/2016,58,Red,1400,1430,1415,
Bahraich,23/01/2016,54,Red,1400,1440,1420,
Bahraich,25/01/2016,58,Red,1400,1420,1410,
Bahraich,27/01/2016,56,Red,1400,1430,1415,
Bahraich,28/01/2016,55,Red,1400,1440,1420,
Bahraich,29/01/2016,65,Red,1400,1430,1410,
Bahraich,30/01/2016,69,Red,1375,1420,1400,
