Bahraich,01/07/2016,91, ,NR,NR,NR,
Bahraich,02/07/2016,97, ,NR,NR,NR,
Bahraich,06/07/2016,88,Red,880,920,900,
Bahraich,09/07/2016,85,Red,860,900,880,
Bahraich,11/07/2016,90,Red,860,890,875,
Bahraich,12/07/2016,86.5,Red,850,885,870,
Bahraich,13/07/2016,87,Red,825,870,850,
Bahraich,14/07/2016,85,Red,840,880,860,
Bahraich,15/07/2016,84,Red,850,885,865,
Bahraich,16/07/2016,81,Red,850,890,870,
Bahraich,19/07/2016,83.5,Red,850,895,870,
Bahraich,20/07/2016,82,Red,860,895,875,
Bahraich,21/07/2016,83,Red,850,890,870,
Bahraich,22/07/2016,81,Red,860,890,875,
Bahraich,23/07/2016,83,Red,850,890,870,
Bahraich,25/07/2016,81.5,Red,860,890,875,
Bahraich,26/07/2016,84,Red,850,890,870,
Bahraich,27/07/2016,79,Red,860,895,875,
Bahraich,28/07/2016,78.5,Red,860,890,875,
Bahraich,29/07/2016,81,Red,850,890,870,
Bahraich,30/07/2016,82.5,Red,860,890,875,
