Bahraich,01/01/2018,57.2, ,NR,NR,NR,
Bahraich,03/01/2018,46.5,Red,3200,3550,3450,
Bahraich,04/01/2018,57.5,Red,3150,3500,3400,
Bahraich,05/01/2018,62.5,Red,3150,3450,3300,
Bahraich,06/01/2018,62.5,Red,3150,3450,3350,
Bahraich,09/01/2018,65.5,Red,3150,3450,3300,
Bahraich,10/01/2018,68.5,Red,3150,3450,3300,
Bahraich,11/01/2018,67.5,Red,3120,3400,3325,
Bahraich,12/01/2018,65.5,Red,3150,3450,3350,
Bahraich,15/01/2018,75.5,Red,3200,3400,3300,
Bahraich,16/01/2018,78.5,Red,3150,3350,3275,
Bahraich,18/01/2018,74.5,Red,3300,3500,3450,
Bahraich,19/01/2018,74.5,Red,3300,3500,3400,
Bahraich,20/01/2018,68.5,Red,3300,3500,3400,
Bahraich,22/01/2018,68.5,Red,3300,3500,3400,
Bahraich,23/01/2018,69.5,Red,3300,3550,3450,
Bahraich,24/01/2018,72,Red,3250,3550,3450,
Bahraich,25/01/2018,70.5,Red,3250,3400,3300,
Bahraich,27/01/2018,825,Red,3250,3450,3350,
Bahraich,29/01/2018,76.2,Red,3200,3400,3300,
Bahraich,30/01/2018,72,Red,3300,3500,3450,
Bahraich,31/01/2018,83.5,Red,3200,3400,3300,
