Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,02/09/2006,50,Other,400,450,430,
,04/09/2006,60,Other,425,450,435,
,05/09/2006,50,Other,425,450,440,
,06/09/2006,60,Other,425,460,440,
,07/09/2006,55,Other,430,460,445,
,08/09/2006,45,Other,430,460,450,
,09/09/2006,50,Other,440,475,460,
,11/09/2006,50,Other,460,500,480,
,12/09/2006,45,Other,450,525,500,
,13/09/2006,60,Other,475,525,500,
,14/09/2006,70,Other,475,550,500,
,15/09/2006,50,Other,500,525,510,
,16/09/2006,50,Other,500,525,515,
,18/09/2006,60,Other,490,525,500,
,19/09/2006,50,Other,500,540,510,
,20/09/2006,60,Other,500,550,515,
,21/09/2006,40,Other,500,550,525,
,22/09/2006,60,Other,500,550,525,
,23/09/2006,70,Other,500,550,525,
,25/09/2006,70,Other,500,540,525,
,26/09/2006,40,Other,500,550,540,
,27/09/2006,50,Other,500,550,530,
,28/09/2006,60,Other,500,550,540,
,29/09/2006,50,Other,500,550,540,
Aligarh,01/09/2006,17.5,Red,525,600,580,
,02/09/2006,19.5,Red,550,600,580,
,04/09/2006,17,Red,560,610,580,
,06/09/2006,14,Red,560,640,600,
,07/09/2006,12,Red,580,650,620,
,08/09/2006,11.5,Red,580,650,620,
,09/09/2006,9, ,NR,NR,NR,
,11/09/2006,12,Red,580,650,630,
,12/09/2006,12,Red,600,650,635,
,13/09/2006,15,Red,600,670,640,
,14/09/2006,14,Red,600,650,630,
,15/09/2006,12,Red,590,630,600,
,16/09/2006,14,Red,590,625,590,
,18/09/2006,12,Red,550,625,570,
,19/09/2006,14,Red,550,625,560,
,20/09/2006,11,Red,525,600,550,
,21/09/2006,15,Red,500,580,530,
,22/09/2006,16,Red,510,575,540,
,23/09/2006,12, ,NR,NR,NR,
,25/09/2006,10,Red,510,575,540,
,26/09/2006,14,Red,500,560,540,
,27/09/2006,12,Red,510,550,540,
,28/09/2006,10,Red,525,565,550,
,29/09/2006,13,Red,515,555,540,
Allahabad,01/09/2006,70,Other,NR,NR,385,
,02/09/2006,65,Other,NR,NR,385,
,04/09/2006,60,Other,NR,NR,385,
,05/09/2006,50,Other,NR,NR,385,
,06/09/2006,65,Other,NR,NR,350,
,07/09/2006,40,Other,NR,NR,350,
,08/09/2006,40,Other,NR,NR,350,
,11/09/2006,100,Other,NR,NR,350,
,12/09/2006,150,Other,NR,NR,350,
,13/09/2006,50,Other,NR,NR,350,
,14/09/2006,40,Other,NR,NR,360,
,15/09/2006,80,Other,NR,NR,360,
,16/09/2006,70,Other,NR,NR,360,
,18/09/2006,85,Other,NR,NR,360,
,19/09/2006,50,Other,NR,NR,360,
,20/09/2006,60,Other,NR,NR,350,
,21/09/2006,120,Other,NR,NR,350,
,22/09/2006,70,Other,NR,NR,350,
,25/09/2006,65,Other,NR,NR,350,
,26/09/2006,65,Other,NR,NR,350,
,27/09/2006,30,Other,NR,NR,365,
Amroha,03/09/2006,2.5,Red,508,515,510,
,04/09/2006,2,Red,508,515,510,
,06/09/2006,25,Red,500,510,505,
,07/09/2006,3,Red,500,510,505,
,08/09/2006,1.5,Red,510,520,515,
,09/09/2006,1.5,Red,512,518,515,
,10/09/2006,2,Red,510,520,515,
,11/09/2006,2.5,Red,512,520,515,
,13/09/2006,2,Red,508,515,510,
,14/09/2006,1,Red,525,540,530,
,15/09/2006,1.5,Red,525,540,530,
,16/09/2006,2,Red,530,538,535,
,17/09/2006,2.5,Red,525,535,530,
,18/09/2006,1.5,Red,530,538,535,
,20/09/2006,1,Red,530,540,535,
,21/09/2006,1.5,Red,530,540,535,
,22/09/2006,1,Red,618,625,620,
,23/09/2006,1,Red,498,505,500,
,24/09/2006,1.5,Red,498,502,500,
,25/09/2006,2.5,Red,490,500,495,
,27/09/2006,2,Red,480,490,485,
,28/09/2006,1.5, ,NR,NR,NR,
,29/09/2006,2.5, ,NR,NR,NR,
,30/09/2006,2,Red,492,500,495,
Azamgarh,01/09/2006,4,Other,440,440,440,
,02/09/2006,4,Other,440,440,440,
,05/09/2006,3,Other,440,440,440,
,06/09/2006,4,Other,475,475,475,
,07/09/2006,4, ,NR,NR,NR,
,08/09/2006,4,Other,475,475,475,
,11/09/2006,4,Other,500,500,500,
,12/09/2006,3,Other,500,500,500,
,13/09/2006,2.5,Other,500,500,500,
,14/09/2006,2,Other,500,500,500,
,15/09/2006,2,Other,500,500,500,
,16/09/2006,2,Other,500,500,500,
,18/09/2006,2,Other,525,525,525,
,19/09/2006,2,Other,525,525,525,
,20/09/2006,2,Other,525,525,525,
,22/09/2006,1,Other,550,550,550,
,25/09/2006,4,Other,575,575,575,
,26/09/2006,4,Other,575,575,575,
,27/09/2006,4,Other,575,575,575,
,28/09/2006,4,Other,575,575,575,
,29/09/2006,4,Other,575,575,575,
Badayoun,04/09/2006,5,Other,390,435,430,
,05/09/2006,6,Other,400,435,430,
,06/09/2006,5,Other,400,425,420,
,07/09/2006,4,Other,400,425,420,
,08/09/2006,8,Other,380,410,400,
,09/09/2006,6,Other,380,410,400,
,11/09/2006,9,Other,375,400,390,
,12/09/2006,8,Other,375,400,390,
,13/09/2006,7,Other,385,420,400,
,14/09/2006,6,Other,375,415,400,
,15/09/2006,5,Other,390,430,420,
,16/09/2006,8,Other,390,430,400,
,18/09/2006,6,Other,380,410,400,
,19/09/2006,5,Other,380,415,410,
,20/09/2006,6.5,Other,380,415,405,
,21/09/2006,4,Other,400,440,425,
,22/09/2006,5,Other,400,440,425,
,23/09/2006,4,Other,410,440,435,
,25/09/2006,4.5,Other,420,460,445,
,26/09/2006,4,Other,430,465,450,
,27/09/2006,3.5,Other,440,470,455,
,28/09/2006,5,Other,450,500,465,
,29/09/2006,4.5,Other,450,500,475,
,30/09/2006,4,Other,450,500,480,
Bahraich,01/09/2006,11,Red,525,600,550,
,02/09/2006,100,Red,525,570,550,
,04/09/2006,9.5,Red,525,580,560,
,05/09/2006,9,Red,530,580,550,
,06/09/2006,9.5,Red,540,590,560,
,12/09/2006,14,Red,500,550,525,
,13/09/2006,12,Red,500,550,530,
,14/09/2006,30,Red,500,550,525,
,15/09/2006,14,Red,500,540,530,
,16/09/2006,12,Red,485,530,525,
,18/09/2006,10,Red,500,535,530,
Ballia,01/09/2006,4.8,Other,430,480,450,
,02/09/2006,5.2,Other,430,480,450,
,04/09/2006,4.5,Other,430,480,450,
