Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,02/08/2007,120,Other,1070,1140,1105,
,03/08/2007,100,Other,1085,1150,1120,
,04/08/2007,80,Other,1050,1125,1100,
,06/08/2007,60,Other,1100,1160,1125,
,07/08/2007,80,Other,1000,1075,1050,
,08/08/2007,100,Other,950,1050,1000,
,09/08/2007,70,Other,875,950,900,
,10/08/2007,110,Other,850,925,900,
,11/08/2007,120,Other,900,965,925,
,13/08/2007,100,Other,850,950,925,
,14/08/2007,80,Other,850,925,900,
,16/08/2007,75,Other,850,950,920,
,17/08/2007,85,Other,900,975,930,
,18/08/2007,90,Other,850,950,925,
,20/08/2007,30,Other,1075,1175,1100,
,21/08/2007,79,Other,1075,1150,1100,
,22/08/2007,60,Other,1100,1350,1200,
,24/08/2007,50,Other,1300,1400,1350,
,25/08/2007,40,Other,1425,1475,1450,
,29/08/2007,60, ,NR,NR,NR,
,30/08/2007,75,Other,1350,1400,1380,
,31/08/2007,80,Other,1350,1400,1380,
Aligarh,01/08/2007,19,Red,900,980,940,
,02/08/2007,28,Red,900,980,950,
,03/08/2007,18,Red,920,1000,965,
,04/08/2007,22,Red,900,990,955,
,06/08/2007,28,Red,900,980,940,
,07/08/2007,21.5,Red,910,985,945,
,08/08/2007,18,Red,920,990,950,
,09/08/2007,22,Red,920,990,940,
,10/08/2007,16.5,Red,930,1000,950,
,11/08/2007,18,Red,940,1000,960,
,15/08/2007,25,Red,920,1000,950,
,16/08/2007,25,Red,910,1000,940,
,17/08/2007,19,Red,940,1030,970,
,18/08/2007,16,Red,970,1050,1000,
,20/08/2007,12,Red,985,1080,1055,
,21/08/2007,10.5,Red,1030,1130,1080,
,22/08/2007,11,Red,1050,1200,1120,
,25/08/2007,11,Red,1140,1340,1240,
,27/08/2007,14,Red,1140,1340,1230,
,28/08/2007,18,Red,1140,1340,1240,
,29/08/2007,12,Red,1140,1340,1220,
,30/08/2007,13,Red,1140,1340,1230,
Allahabad,01/08/2007,40,Other,NR,NR,800,
,03/08/2007,50,Other,NR,NR,800,
,04/08/2007,800, ,NR,NR,NR,
,06/08/2007,750, ,NR,NR,NR,
,07/08/2007,750, ,NR,NR,NR,
,08/08/2007,750, ,NR,NR,NR,
,09/08/2007,750, ,NR,NR,NR,
,10/08/2007,750, ,NR,NR,NR,
,13/08/2007,35,Other,NR,NR,800,
,16/08/2007,60,Other,NR,NR,850,
,17/08/2007,70,Other,NR,NR,900,
,20/08/2007,75,Other,NR,NR,900,
,21/08/2007,60,Other,NR,NR,900,
,22/08/2007,62.5,Other,NR,NR,900,
,23/08/2007,65,Other,NR,NR,900,
,24/08/2007,60,Other,NR,NR,900,
,27/08/2007,50,Other,NR,NR,1000,
,29/08/2007,40,Other,NR,NR,1100,
,30/08/2007,45,Other,NR,NR,1200,
,31/08/2007,40,Other,NR,NR,1200,
Anoop Shahar,20/08/2007,0.2,Other,600,650,620,
,29/08/2007,0.25,Other,410,520,475,
,30/08/2007,0.2,Other,405,498,450,
,31/08/2007,0.03,Other,418,488,465,
Anwala,10/08/2007,2,Other,600,700,650,
,22/08/2007,0.1,Red,1000,1100,1050,
,23/08/2007,2,Red,1000,1100,1050,
,24/08/2007,2,Red,1000,1100,1050,
,25/08/2007,5.7,Red,1050,1170,1100,
,27/08/2007,0.8,Red,1000,1100,1050,
,28/08/2007,0.8,Red,1000,1050,1030,
,31/08/2007,1.5,Red,1000,1100,1050,
Auraiya,01/08/2007,2,Other,790,810,800,
,02/08/2007,3,Other,820,850,835,
,03/08/2007,2.5,Other,825,850,830,
,04/08/2007,3,Other,830,850,840,
,06/08/2007,3,Other,845,860,850,
,07/08/2007,6,Other,835,850,840,
,08/08/2007,8.5,Other,840,860,845,
,09/08/2007,1.5,Other,835,845,840,
,10/08/2007,4,Other,820,840,830,
,11/08/2007,6,Other,825,850,835,
Azamgarh,01/08/2007,5,Other,1100,1100,1100,
,02/08/2007,5,Other,1100,1100,1100,
,03/08/2007,5,Other,1100,1100,1100,
,04/08/2007,6,Other,1100,1100,1100,
,06/08/2007,6,Other,1100,1100,1100,
,07/08/2007,6,Other,1850,1850,1850,
,08/08/2007,6,Other,1150,1150,1150,
,09/08/2007,5,Other,1150,1150,1150,
,10/08/2007,5,Other,1150,1150,1150,
,13/08/2007,5,Other,1150,1150,1150,
,14/08/2007,5,Other,1150,1150,1150,
,16/08/2007,5,Other,1150,1150,1150,
,17/08/2007,5,Other,1150,1150,1150,
,18/08/2007,5,Other,1150,1150,1150,
,20/08/2007,4,Other,1400,1400,1400,
,21/08/2007,4,Other,1430,1450,1440,
,22/08/2007,4,Other,1450,1500,1490,
,23/08/2007,4,Other,1500,1500,1500,
,24/08/2007,4,Other,1470,1500,1490,
,25/08/2007,5,Other,1450,1500,1490,
,29/08/2007,5,Other,1450,1500,1490,
,30/08/2007,5,Other,1450,1500,1480,
,31/08/2007,5,Other,1450,1500,1450,
