Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,25/07/2007,90, ,NR,NR,NR,
,26/07/2007,100,Other,1125,1180,1150,
,27/07/2007,900,Other,1120,1175,1140,
,28/07/2007,110,Other,1100,1200,1120,
,30/07/2007,100,Other,1050,1150,1100,
,31/07/2007,105,Other,1050,1150,1090,
Aligarh,03/07/2007,22,Red,720,800,750,
,05/07/2007,15,Red,750,820,800,
,06/07/2007,18,Red,780,840,820,
,07/07/2007,19, ,NR,NR,NR,
,09/07/2007,30,Red,780,840,825,
,10/07/2007,20,Red,780,890,865,
,11/07/2007,18,Red,875,920,900,
,12/07/2007,15,Red,880,950,920,
,13/07/2007,13,Red,890,960,930,
,14/07/2007,11.5, ,NR,NR,NR,
,17/07/2007,12,Red,950,1000,970,
,18/07/2007,11,Red,900,975,960,
,19/07/2007,11,Red,845,1000,875,
,20/07/2007,11,Red,950,1000,975,
,21/07/2007,9,Red,950,1000,980,
,23/07/2007,8.5,Red,950,1000,980,
,24/07/2007,12,Red,940,990,970,
,26/07/2007,17,Red,930,980,950,
,27/07/2007,16,Red,900,1000,950,
,28/07/2007,17,Red,900,985,945,
,30/07/2007,21,Red,900,980,940,
Allahabad,02/07/2007,45,Other,NR,NR,850,
,04/07/2007,900, ,NR,NR,NR,
,31/07/2007,50, ,NR,NR,NR,
Azamgarh,04/07/2007,5,Other,900,900,900,
,05/07/2007,5,Other,900,900,900,
,06/07/2007,5,Other,900,900,900,
,07/07/2007,5,Other,900,900,900,
,09/07/2007,5,Other,900,900,900,
,10/07/2007,5,Other,900,900,900,
,11/07/2007,5,Other,900,900,900,
,12/07/2007,5,Other,900,900,900,
,16/07/2007,5,Other,900,900,900,
,17/07/2007,5,Other,950,950,950,
,18/07/2007,5, ,NR,NR,NR,
,19/07/2007,5,Other,950,950,950,
,20/07/2007,5,Other,950,950,950,
,21/07/2007,5,Other,950,950,950,
,23/07/2007,5,Other,950,950,950,
,25/07/2007,5,Other,950,950,950,
,27/07/2007,5,Other,1000,1000,1000,
,30/07/2007,5,Other,1000,1000,1000,
,31/07/2007,5,Other,1100,1100,1100,
Badayoun,02/07/2007,7,Other,580,620,590,
,03/07/2007,3.2,Other,580,620,600,
,04/07/2007,6,Other,580,620,590,
,05/07/2007,4,Other,625,700,635,
,06/07/2007,3,Other,630,700,645,
,07/07/2007,2,Other,660,725,670,
,08/07/2007,5,Other,700,750,740,
,09/07/2007,2.5,Other,720,750,740,
,10/07/2007,3.5,Other,725,760,750,
,11/07/2007,2.5,Other,735,765,760,
,12/07/2007,8,Other,735,760,755,
,13/07/2007,12,Other,735,760,750,
,14/07/2007,10,Other,750,780,765,
,15/07/2007,8,Other,760,800,775,
,16/07/2007,7.5,Other,780,825,800,
,17/07/2007,9,Other,800,825,815,
,18/07/2007,11,Other,800,830,810,
,19/07/2007,8.5,Other,810,830,820,
,20/07/2007,6.5,Other,825,900,850,
,21/07/2007,4.5,Other,850,900,865,
,22/07/2007,7,Other,880,900,890,
,23/07/2007,4,Other,890,925,900,
,24/07/2007,8,Other,900,925,910,
,25/07/2007,9,Other,900,925,915,
,26/07/2007,8,Other,910,925,915,
,27/07/2007,10,Other,890,925,900,
,28/07/2007,6,Other,875,910,900,
,29/07/2007,8,Other,875,925,880,
,30/07/2007,16,Other,875,900,880,
,31/07/2007,8,Other,860,900,875,
Bahraich,02/07/2007,8,Local,950,1100,1050,
,03/07/2007,7,Local,1000,1125,1100,
,04/07/2007,8,Local,1000,1125,1100,
,05/07/2007,9,Local,1000,1100,1050,
,06/07/2007,8,Local,950,1050,980,
,07/07/2007,8.5,Local,950,1050,965,
,09/07/2007,12,Local,850,1050,980,
,10/07/2007,10,Local,950,1100,970,
,11/07/2007,7.5,Local,950,1050,980,
,12/07/2007,8,Local,950,1100,1000,
,13/07/2007,8.5,Local,950,1050,1000,
,14/07/2007,7.5,Local,950,1100,1000,
,16/07/2007,9,Local,950,1100,1000,
,17/07/2007,8,Local,1050,1150,1100,
,18/07/2007,5,Local,1050,1200,1125,
,19/07/2007,5,Local,1050,1150,1125,
,20/07/2007,6,Local,1100,1200,1130,
,21/07/2007,7,Local,1100,1200,1135,
,23/07/2007,7.5,Local,1100,1200,1135,
,24/07/2007,8,Local,1100,1200,1130,
,25/07/2007,6,Local,1100,1200,1140,
,26/07/2007,6,Local,1100,1200,1150,
,28/07/2007,7,Local,1100,1250,1145,
,30/07/2007,10,Local,1100,1250,1140,
,31/07/2007,12.5,Local,1100,1250,1150,
Ballia,02/07/2007,16,Other,830,900,850,
,03/07/2007,36,Other,860,900,870,
,04/07/2007,32,Other,860,900,870,
,06/07/2007,24,Other,880,925,900,
,07/07/2007,26,Other,880,925,900,
,09/07/2007,32,Other,880,920,900,
,10/07/2007,26,Other,890,925,900,
,11/07/2007,29,Other,890,925,900,
,12/07/2007,19,Other,880,950,900,
,13/07/2007,17,Other,920,950,930,
,14/07/2007,24,Other,900,1000,930,
,16/07/2007,28,Other,900,1000,950,
,17/07/2007,28,Other,930,1000,950,
,18/07/2007,32,Other,930,1000,950,
,19/07/2007,29,Other,940,1000,950,
,20/07/2007,13,Other,950,1000,970,
,21/07/2007,11,Other,960,1000,970,
,23/07/2007,9,Other,950,1000,970,
,24/07/2007,8,Other,950,1000,970,
,25/07/2007,7,Other,950,1000,970,
,26/07/2007,8,Other,950,1000,970,
,27/07/2007,12,Other,960,980,970,
,28/07/2007,9,Other,950,1000,970,
,30/07/2007,9,Other,940,1000,960,
Banda,01/07/2007,20,Bombay (U.P.),NR,NR,875,
,02/07/2007,24.5,Bombay (U.P.),NR,NR,890,
,04/07/2007,13,Bombay (U.P.),NR,NR,900,
,05/07/2007,11.5,Bombay (U.P.),NR,NR,915,
,06/07/2007,9.5,Bombay (U.P.),NR,NR,910,
,07/07/2007,6.5,Bombay (U.P.),NR,NR,910,
,08/07/2007,11,Bombay (U.P.),NR,NR,910,
,09/07/2007,14,Bombay (U.P.),NR,NR,910,
