Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,10/03/2007,50,Other,1100,1200,1150,
,12/03/2007,70,Other,1100,1175,1150,
,13/03/2007,60,Other,1100,1200,1150,
,19/03/2007,60,Other,1150,1250,1200,
,20/03/2007,70,Other,1100,1200,1200,
,21/03/2007,80,Other,1100,1200,1150,
,22/03/2007,85,Other,1000,1150,1150,
,23/03/2007,100,Other,900,1000,1000,
,24/03/2007,100,Other,850,925,900,
,26/03/2007,120,Other,800,900,850,
,27/03/2007,140,Other,800,900,825,
,28/03/2007,150,Other,750,825,800,
,29/03/2007,160,Other,650,725,700,
,30/03/2007,170,Other,600,700,650,
,31/03/2007,200,Other,550,625,600,
Aligarh,01/03/2007,23,Red,970,1040,1020,
,02/03/2007,18,Red,970,1040,1000,
,03/03/2007,14, ,NR,NR,NR,
,06/03/2007,10,Red,930,1030,950,
,07/03/2007,18,Red,880,1025,900,
,08/03/2007,23,Red,800,900,860,
,12/03/2007,20,Red,755,860,800,
,13/03/2007,22,Red,800,870,840,
,14/03/2007,19,Red,820,880,860,
,15/03/2007,22,Red,850,940,900,
,16/03/2007,20,Red,860,950,910,
,17/03/2007,20,Red,860,960,940,
,19/03/2007,19,Red,860,960,920,
,20/03/2007,21,Red,850,950,920,
,21/03/2007,23,Red,850,950,900,
,22/03/2007,21,Red,880,950,900,
,24/03/2007,20, ,NR,NR,NR,
,27/03/2007,20,Red,875,950,920,
,28/03/2007,22,Red,870,950,930,
,29/03/2007,20,Red,900,960,940,
,30/03/2007,21,Red,910,970,950,
Allahabad,01/03/2007,56,Other,NR,NR,1200,
,02/03/2007,100,Other,NR,NR,1200,
,08/03/2007,30,Other,NR,NR,1000,
,13/03/2007,50,Other,NR,NR,1000,
,14/03/2007,70,Other,NR,NR,975,
,15/03/2007,75,Other,NR,NR,975,
,17/03/2007,67.5,Other,NR,NR,975,
,19/03/2007,40,Other,NR,NR,975,
,20/03/2007,30,Other,NR,NR,975,
,21/03/2007,90,Other,NR,NR,775,
,22/03/2007,80,Other,NR,NR,975,
,23/03/2007,70,Other,NR,NR,975,
,24/03/2007,35,Other,NR,NR,975,
,26/03/2007,80,Other,NR,NR,975,
,28/03/2007,30,Other,NR,NR,900,
,29/03/2007,60,Other,NR,NR,875,
Auraiya,01/03/2007,3,Other,1120,1130,1125,
,02/03/2007,6,Other,1080,1120,1100,
,03/03/2007,1, ,NR,NR,NR,
,07/03/2007,1,Other,1100,1120,1110,
,08/03/2007,1.2,Other,1090,1120,1100,
,09/03/2007,1,Other,1100,1120,1110,
,10/03/2007,3,Other,1065,1110,1100,
,12/03/2007,2.5,Other,1080,1120,1115,
,13/03/2007,3,Other,1080,1110,1100,
,14/03/2007,6,Other,1030,1060,1050,
,15/03/2007,3.2,Other,1000,1050,1030,
,16/03/2007,3,Other,980,1050,1000,
,17/03/2007,1.5,Other,980,1000,990,
,19/03/2007,6.4,Other,970,1000,980,
,20/03/2007,4.4,Other,1000,1030,1020,
,21/03/2007,6,Other,990,1020,1000,
,22/03/2007,3,Other,1010,1030,1020,
,23/03/2007,2.5,Other,985,1020,1000,
,24/03/2007,2.5, ,NR,NR,NR,
,26/03/2007,6.6,Other,960,1000,980,
,27/03/2007,3.5,Other,970,980,975,
,28/03/2007,15.5,Other,960,980,970,
,29/03/2007,3,Other,970,1000,975,
,30/03/2007,3.9,Other,960,985,970,
,31/03/2007,6,Other,960,980,975,
Azamgarh,01/03/2007,6,Other,1300,1300,1300,
,05/03/2007,7,Other,1200,1200,1200,
,07/03/2007,7,Other,1200,1200,1200,
,08/03/2007,7,Other,1200,1200,1200,
,09/03/2007,6,Other,1200,1200,1200,
,12/03/2007,1.5,Other,1200,1200,1200,
,13/03/2007,1.5,Other,1200,1200,1200,
,15/03/2007,4,Other,1200,1200,1200,
,22/03/2007,3,Other,1200,1200,1200,
,23/03/2007,3,Other,1200,1200,1200,
,24/03/2007,3,Other,1200,1200,1200,
