Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,06/10/2007,60,Other,1600,1700,1650,
,09/10/2007,80,Other,1450,1600,1500,
,10/10/2007,75,Other,1450,1600,1500,
,11/10/2007,85,Other,1450,1500,1500,
,12/10/2007,100,Other,1400,1500,1450,
,13/10/2007,90,Other,1350,1500,1400,
,15/10/2007,100,Other,1350,1500,1400,
,16/10/2007,80,Other,1350,1500,1400,
,17/10/2007,70,Other,1350,1425,1425,
,18/10/2007,70,Other,1350,1425,1425,
,19/10/2007,120,Other,1300,1450,1350,
,20/10/2007,110,Other,1325,1400,1350,
,22/10/2007,120,Other,1300,1400,1350,
,23/10/2007,100, ,NR,NR,NR,
,24/10/2007,100,Other,1250,1400,1300,
,25/10/2007,120,Other,1250,1300,1300,
Aligarh,01/10/2007,11,Red,1430,1600,1510,
,02/10/2007,10, ,NR,NR,NR,
,03/10/2007,8, ,NR,NR,NR,
,04/10/2007,6.8, ,NR,NR,NR,
,05/10/2007,12,Red,1570,1700,1600,
,06/10/2007,11.5, ,NR,NR,NR,
,08/10/2007,10, ,NR,NR,NR,
,09/10/2007,9,Red,1620,1840,1685,
,10/10/2007,7.5,Red,1650,1850,1710,
,11/10/2007,6.5,Red,1650,1850,1725,
,12/10/2007,7.5,Red,1680,1850,1720,
,13/10/2007,10,Red,1700,1860,1730,
,15/10/2007,8,Red,1700,1880,1740,
,16/10/2007,12,Red,1700,1860,1720,
,17/10/2007,15,Red,1650,1830,1680,
,18/10/2007,13.5,Red,1650,1840,1690,
,19/10/2007,14,Red,1660,1840,1700,
,20/10/2007,13,Red,1660,1840,1710,
,22/10/2007,15,Red,1660,1840,1700,
,23/10/2007,17,Red,1600,1750,1700,
,24/10/2007,14,Red,1600,1750,1690,
,25/10/2007,18,Red,1600,1750,1670,
,26/10/2007,22,Red,1600,1750,1660,
,27/10/2007,29,Red,1560,1700,1600,
,29/10/2007,20, ,NR,NR,NR,
,30/10/2007,32,Red,1560,1700,1620,
Allahabad,01/10/2007,20,Other,NR,NR,1350,
,03/10/2007,20,Other,NR,NR,1400,
,19/10/2007,60,Other,NR,NR,1470,
,22/10/2007,60,Other,NR,NR,1450,
,23/10/2007,65,Other,NR,NR,1460,
Azamgarh,01/10/2007,5,Other,1500,1500,1500,
,03/10/2007,4,Other,1800,1800,1800,
,08/10/2007,4,Other,1800,1800,1800,
,09/10/2007,4,Other,1800,1800,1800,
,10/10/2007,4,Other,1800,1800,1800,
,11/10/2007,4,Other,1800,1800,1800,
,15/10/2007,5,Other,1800,1800,1800,
,16/10/2007,4,Other,1800,1800,1800,
,18/10/2007,4,Other,1800,1800,1800,
,19/10/2007,5,Other,1800,1800,1800,
,22/10/2007,4,Other,1800,1800,1800,
