Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,02/01/2009,120, ,NR,NR,NR,
,03/01/2009,170,Other,1100,1200,1150,
,05/01/2009,140, ,NR,NR,NR,
,06/01/2009,150, ,NR,NR,NR,
,07/01/2009,120,Other,1100,1200,1200,
,08/01/2009,100,Other,1150,1225,1200,
,09/01/2009,90,Other,1200,1300,1250,
,10/01/2009,110,Other,1200,1300,1250,
,12/01/2009,130,Other,1200,1300,1250,
,13/01/2009,140,Other,1200,1300,1250,
,14/01/2009,150,Other,1200,1300,1250,
,15/01/2009,120,Other,1200,1300,1250,
,16/01/2009,140,Other,1200,1300,1250,
,17/01/2009,120,Other,1200,1300,1260,
,19/01/2009,140,Other,1200,1300,1260,
,20/01/2009,160,Other,1200,1300,1260,
,21/01/2009,150,Other,1200,1300,1260,
,22/01/2009,130,Other,1200,1300,1275,
,23/01/2009,140,Other,1200,1300,1275,
Ajuha,01/01/2009,4,Other,NR,NR,1000,
,05/01/2009,6,Other,NR,NR,1050,
,08/01/2009,5,Other,NR,NR,1100,
,12/01/2009,4,Other,NR,NR,1000,
,15/01/2009,4,Other,NR,NR,850,
,19/01/2009,5,Other,NR,NR,1200,
,22/01/2009,6,Other,NR,NR,1250,
,26/01/2009,7,Other,NR,NR,1250,
,29/01/2009,4.5,Other,NR,NR,1250,
Aligarh,01/01/2009,18,Other,1200,1300,1230,
,02/01/2009,16,Red,1240,1330,1300,
,03/01/2009,12,Red,1270,1360,1330,
,05/01/2009,17,Red,1300,1380,1350,
,06/01/2009,15,Red,1340,1410,1380,
,07/01/2009,19,Red,1360,1430,1400,
,09/01/2009,24,Red,1340,1410,1370,
,10/01/2009,22,Red,1350,1420,1380,
,12/01/2009,20,Red,1360,1430,1390,
,13/01/2009,22,Red,1360,1435,1380,
,14/01/2009,31,Red,1365,1450,1400,
,15/01/2009,29,Red,1375,1460,1410,
,16/01/2009,32,Red,1370,1450,1380,
,17/01/2009,25,Red,1390,1460,1415,
,19/01/2009,30,Red,1380,1450,1400,
,20/01/2009,35,Red,1360,1430,1370,
,21/01/2009,30,Red,1370,1430,1385,
,22/01/2009,24,Red,1390,1460,1415,
,23/01/2009,22,Red,1400,1480,1420,
,24/01/2009,24,Red,1400,1480,1430,
,28/01/2009,28,Red,1310,1415,1320,
,29/01/2009,30,Red,1300,1380,1310,
,30/01/2009,34,Red,1250,1360,1300,
Allahabad,01/01/2009,45,Other,NR,NR,950,
,02/01/2009,57.5,Other,NR,NR,950,
,06/01/2009,45, ,NR,NR,NR,
,20/01/2009,11,Other,NR,NR,1250,
,23/01/2009,19,Other,NR,NR,1230,
,28/01/2009,33,Other,NR,NR,1225,
,29/01/2009,35,Other,NR,NR,1225,
