Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,02/06/2009,480,Other,550,640,630,
,03/06/2009,485,Other,550,625,625,
,04/06/2009,500,Other,600,675,625,
,05/06/2009,440,Other,600,675,625,
,06/06/2009,480,Other,600,685,625,
,08/06/2009,490,Other,550,625,625,
,09/06/2009,470,Other,550,625,610,
,10/06/2009,550,Other,550,600,600,
,11/06/2009,60,Other,550,600,600,
,12/06/2009,580,Other,550,600,590,
,13/06/2009,500,Other,550,600,590,
,15/06/2009,600,Other,550,600,580,
,16/06/2009,550,Other,550,600,590,
,17/06/2009,580,Other,550,600,590,
,18/06/2009,600,Other,550,600,580,
,19/06/2009,400,Other,550,600,590,
,20/06/2009,450,Other,500,600,590,
,22/06/2009,480,Other,550,600,590,
,23/06/2009,460,Other,550,600,580,
,24/06/2009,530,Other,500,600,590,
,25/06/2009,530,Other,500,600,590,
Ajuha,01/06/2009,14,Other,NR,NR,625,
,04/06/2009,13,Other,NR,NR,600,
,08/06/2009,15,Other,NR,NR,600,
,11/06/2009,15,Other,NR,NR,600,
,15/06/2009,16,Other,NR,NR,580,
,18/06/2009,15,Other,NR,NR,575,
,22/06/2009,13,Other,NR,NR,575,
,25/06/2009,14,Other,NR,NR,570,
,29/06/2009,13.5,Other,NR,NR,600,
Aligarh,01/06/2009,40,Other,625,670,650,
,02/06/2009,25,Other,625,660,640,
,03/06/2009,34,Other,630,660,640,
,04/06/2009,38,Other,615,650,630,
,05/06/2009,35,Other,610,640,625,
,06/06/2009,36,Other,610,650,630,
,08/06/2009,35,Other,625,660,640,
,09/06/2009,32,Other,630,670,650,
,10/06/2009,30,Other,610,650,630,
,11/06/2009,26,Red,600,640,625,
,12/06/2009,24,Red,600,650,620,
,13/06/2009,28.5,Red,610,660,640,
,15/06/2009,27,Red,625,670,650,
,16/06/2009,30,Red,640,700,675,
,17/06/2009,31,Red,670,740,700,
,18/06/2009,30,Red,690,750,725,
