Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,02/05/2009,420,Other,650,725,725,
,04/05/2009,450,Other,600,700,700,
,05/05/2009,350,Other,625,700,700,
,08/05/2009,350,Other,625,700,700,
,09/05/2009,320,Other,600,700,700,
,11/05/2009,300,Other,600,700,700,
,12/05/2009,350,Other,600,700,700,
,13/05/2009,400,Other,600,700,700,
,14/05/2009,440,Other,600,700,700,
,15/05/2009,500,Other,600,700,675,
,16/05/2009,500,Other,625,700,675,
,18/05/2009,450,Other,600,700,675,
,19/05/2009,420,Other,600,700,675,
,20/05/2009,390,Other,600,700,675,
,21/05/2009,330,Other,600,700,675,
,22/05/2009,350,Other,600,700,675,
,23/05/2009,380,Other,600,700,675,
,25/05/2009,350,Other,600,700,675,
,26/05/2009,390,Other,600,675,650,
,27/05/2009,386,Other,600,675,650,
,28/05/2009,350,Other,550,650,650,
,29/05/2009,320,Other,600,700,650,
,30/05/2009,300,Other,600,700,650,
Ajuha,04/05/2009,13,Other,NR,NR,700,
,07/05/2009,14,Other,NR,NR,700,
,11/05/2009,13,Other,NR,NR,675,
,14/05/2009,15,Other,NR,NR,640,
,18/05/2009,15,Other,NR,NR,630,
Aligarh,01/05/2009,50,Red,740,800,765,
,02/05/2009,52,Red,745,800,755,
,04/05/2009,46,Red,745,800,760,
,05/05/2009,49,Red,735,780,750,
,06/05/2009,45,Red,730,780,760,
,08/05/2009,47,Red,730,770,750,
,09/05/2009,43,Red,730,780,760,
,11/05/2009,45,Red,725,780,750,
,12/05/2009,40,Red,720,760,740,
,13/05/2009,38,Red,715,750,730,
,14/05/2009,41,Red,700,750,720,
,15/05/2009,36,Red,710,760,725,
,16/05/2009,38,Red,700,750,730,
,18/05/2009,45,Red,700,750,720,
,19/05/2009,42,Red,700,740,710,
,20/05/2009,45,Other,670,735,700,
,21/05/2009,41,Other,670,730,700,
,22/05/2009,43, ,NR,NR,NR,
,23/05/2009,44,Other,650,700,680,
,25/05/2009,46,Other,640,690,670,
,26/05/2009,48,Other,625,675,650,
,27/05/2009,50,Other,620,670,640,
,28/05/2009,41,Other,625,675,650,
,29/05/2009,33,Other,625,675,650,
,30/05/2009,36, ,NR,NR,NR,
Allahabad,01/05/2009,85,Other,NR,NR,810,
,02/05/2009,77.5,Other,NR,NR,810,
,04/05/2009,75,Other,NR,NR,800,
,05/05/2009,100,Other,NR,NR,775,
,06/05/2009,90,Other,NR,NR,775,
,07/05/2009,95,Other,NR,NR,750,
,08/05/2009,90,Other,NR,NR,750,
,09/05/2009,95,Other,NR,NR,750,
,11/05/2009,100,Other,NR,NR,725,
,12/05/2009,90,Other,NR,NR,725,
,13/05/2009,100,Other,NR,NR,725,
,14/05/2009,120,Other,NR,NR,700,
,15/05/2009,95,Other,NR,NR,700,
,18/05/2009,95,Other,NR,NR,700,
,19/05/2009,95,Other,NR,NR,700,
,20/05/2009,100,Other,NR,NR,700,
Amroha,02/05/2009,2,Other,625,680,650,
,03/05/2009,2,Other,625,680,650,
,04/05/2009,3,Other,625,680,650,
,05/05/2009,2,Other,630,680,655,
,06/05/2009,3,Other,635,685,660,
,07/05/2009,4,Other,635,685,660,
,08/05/2009,3,Other,630,680,655,
,09/05/2009,2,Other,625,680,650,
,10/05/2009,3,Other,630,685,655,
,11/05/2009,2,Other,635,690,660,
,14/05/2009,3,Other,640,700,665,
,17/05/2009,2,Other,635,690,660,
,18/05/2009,3,Other,635,690,660,
,19/05/2009,4,Other,630,685,655,
,20/05/2009,5,Other,620,680,650,
,21/05/2009,3,Other,600,670,640,
,22/05/2009,2,Other,600,670,640,
,23/05/2009,3,Other,610,675,645,
,24/05/2009,2,Other,610,675,645,
,25/05/2009,2,Other,600,670,640,
,26/05/2009,3,Other,610,675,645,
,27/05/2009,4,Other,600,670,640,
,28/05/2009,3,Other,610,675,645,
,29/05/2009,4,Other,600,665,630,
,30/05/2009,3, ,NR,NR,NR,
Auraiya,01/05/2009,11,Red,NR,NR,575,
,02/05/2009,12.5,Red,NR,NR,560,
,04/05/2009,10,Red,NR,NR,565,
,05/05/2009,11,Red,NR,NR,570,
,06/05/2009,14.5,Red,NR,NR,575,
,08/05/2009,15,Red,NR,NR,585,
,09/05/2009,8,Red,NR,NR,600,
,11/05/2009,12,Red,NR,NR,580,
,12/05/2009,13,Red,NR,NR,575,
,13/05/2009,12,Red,NR,NR,580,
,14/05/2009,12,Red,NR,NR,610,
,15/05/2009,14,Red,NR,NR,605,
,18/05/2009,11,Red,NR,NR,600,
,19/05/2009,11,Red,NR,NR,600,
,20/05/2009,12.5,Red,NR,NR,590,
,21/05/2009,10,Red,NR,NR,615,
,22/05/2009,16,Red,NR,NR,620,
,23/05/2009,18,Red,NR,NR,625,
,25/05/2009,14,Red,NR,NR,630,
,28/05/2009,11,Red,NR,NR,600,
,29/05/2009,14.5,Red,NR,NR,570,
Azamgarh,02/05/2009,20,Other,890,910,900,
,04/05/2009,15,Other,840,860,850,
,05/05/2009,10,Other,740,760,750,
,07/05/2009,12,Other,840,860,850,
,12/05/2009,15,Other,740,760,750,
,13/05/2009,15,Other,730,750,740,
,14/05/2009,40,Other,740,760,750,
,15/05/2009,14,Other,745,765,755,
,18/05/2009,15,Other,745,765,755,
,19/05/2009,15,Other,745,765,755,
,20/05/2009,12,Other,735,755,745,
,21/05/2009,12,Other,890,910,900,
,23/05/2009,10, ,NR,NR,NR,
,25/05/2009,11,Other,730,750,740,
,28/05/2009,12.5,Other,705,725,715,
,29/05/2009,12, ,NR,NR,NR,
Bachranwa,01/05/2009,1.3,Other,NR,NR,800,
,05/05/2009,1.2,Other,NR,NR,800,
,08/05/2009,0.8,Other,NR,NR,700,
,12/05/2009,0.5,Other,NR,NR,700,
,15/05/2009,0.6,Other,NR,NR,720,
,19/05/2009,0.4,Other,NR,NR,720,
Badayoun,01/05/2009,10,Other,NR,NR,670,
,02/05/2009,12,Other,NR,NR,650,
,04/05/2009,12.5,Other,NR,NR,660,
,05/05/2009,15,Other,NR,NR,625,
,06/05/2009,16,Other,NR,NR,615,
,07/05/2009,15,Other,NR,NR,580,
,08/05/2009,16,Other,NR,NR,600,
,09/05/2009,15,Other,NR,NR,600,
,10/05/2009,12,Other,NR,NR,580,
,11/05/2009,11,Other,NR,NR,575,
,12/05/2009,10,Other,NR,NR,565,
,14/05/2009,9,Other,NR,NR,580,
,15/05/2009,12,Other,NR,NR,560,
,16/05/2009,15,Other,NR,NR,550,
,17/05/2009,10,Other,NR,NR,575,
,18/05/2009,10,Other,NR,NR,575,
,19/05/2009,11,Other,NR,NR,570,
,20/05/2009,12,Other,NR,NR,580,
,21/05/2009,8,Other,NR,NR,570,
,22/05/2009,10,Other,NR,NR,560,
,23/05/2009,11,Other,NR,NR,550,
,24/05/2009,12,Other,NR,NR,545,
,25/05/2009,12,Other,NR,NR,530,
,26/05/2009,14,Other,NR,NR,535,
,27/05/2009,16,Other,NR,NR,550,
,28/05/2009,15,Other,NR,NR,540,
,29/05/2009,12,Other,NR,NR,525,
,30/05/2009,10,Other,NR,NR,515,
Bahraich,02/05/2009,30,Local,815,825,820,
,03/05/2009,32,Local,810,820,815,
,05/05/2009,31,Local,815,825,820,
,06/05/2009,30,Local,830,840,835,
,07/05/2009,34,Local,795,810,800,
,08/05/2009,40,Local,755,775,760,
,12/05/2009,20,Local,760,775,765,
,13/05/2009,39,Local,765,775,770,
,14/05/2009,41,Local,760,775,765,
,23/05/2009,47,Local,740,755,745,
,26/05/2009,49.5,Local,730,750,735,
,27/05/2009,50,Local,725,735,730,
Ballia,01/05/2009,46,Other,680,750,700,
,02/05/2009,54,Other,650,710,700,
,04/05/2009,56,Other,580,610,600,
,05/05/2009,38,Other,580,620,600,
,06/05/2009,48,Other,550,600,580,
,07/05/2009,46,Other,560,600,580,
,08/05/2009,52,Other,550,600,580,
,09/05/2009,55,Other,550,600,580,
,11/05/2009,59,Other,500,550,540,
,12/05/2009,65,Other,520,550,540,
,13/05/2009,57.5,Other,590,650,600,
,14/05/2009,62,Other,650,670,660,
,15/05/2009,75,Other,650,670,660,
,16/05/2009,74,Other,660,700,680,
,18/05/2009,56,Other,680,750,700,
,19/05/2009,62,Other,680,750,700,
,20/05/2009,31.5,Other,690,710,700,
,21/05/2009,52,Other,700,750,725,
,22/05/2009,36,Other,720,750,725,
,23/05/2009,45,Other,720,730,725,
,25/05/2009,55,Other,720,750,730,
,26/05/2009,57,Other,700,750,730,
,27/05/2009,52,Other,550,620,600,
Banda,01/05/2009,14,Bombay (U.P.),NR,NR,700,
,02/05/2009,10,Bombay (U.P.),NR,NR,600,
,03/05/2009,12,Bombay (U.P.),NR,NR,600,
,04/05/2009,14,Bombay (U.P.),NR,NR,600,
,07/05/2009,8,Bombay (U.P.),NR,NR,600,
,08/05/2009,8.5,Bombay (U.P.),NR,NR,600,
,11/05/2009,7.5,Bombay (U.P.),NR,NR,600,
,13/05/2009,8,Bombay (U.P.),NR,NR,700,
,14/05/2009,7.5,Bombay (U.P.),NR,NR,700,
,15/05/2009,8,Bombay (U.P.),NR,NR,580,
,17/05/2009,8.5,Bombay (U.P.),NR,NR,580,
,18/05/2009,8,Bombay (U.P.),NR,NR,580,
,20/05/2009,9,Bombay (U.P.),NR,NR,700,
,21/05/2009,8,Bombay (U.P.),NR,NR,600,
,22/05/2009,6, ,NR,NR,NR,
,23/05/2009,7, ,NR,NR,NR,
,24/05/2009,6, ,NR,NR,NR,
,25/05/2009,9, ,NR,NR,NR,
,27/05/2009,12, ,NR,NR,NR,
