Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,03/02/2011,230,Other,1450,1600,1590,
,04/02/2011,239,Other,1450,1600,1520,
,07/02/2011,250,Other,1300,1425,1400,
,08/02/2011,240,Other,1350,1450,1420,
,09/02/2011,243,Other,1350,1450,1400,
,11/02/2011,242,Other,1350,1450,1400,
,12/02/2011,244,Other,1350,1450,1380,
,14/02/2011,240,Other,1325,1450,1400,
,15/02/2011,241,Other,1300,1450,1380,
,16/02/2011,243,Other,1300,1450,1350,
,17/02/2011,245,Other,1300,1450,1340,
,18/02/2011,210,Other,1250,1400,1350,
,19/02/2011,212,Other,1250,1400,1340,
,21/02/2011,245,Other,1200,1300,1250,
,22/02/2011,200,Other,1200,1300,1280,
,23/02/2011,205,Other,1225,1300,1275,
,24/02/2011,208,Other,1225,1300,1270,
,25/02/2011,180,Other,1200,1300,1290,
,26/02/2011,183,Other,1200,1300,1250,
,28/02/2011,185,Other,1200,1320,1230,
Ahirora,01/02/2011,115,Red,2255,2295,2275,
,03/02/2011,120,Red,2240,2280,2260,
,04/02/2011,125,Red,1480,1520,1500,
,05/02/2011,85,Red,2225,2265,2245,
,06/02/2011,100,Red,2210,2250,2230,
,07/02/2011,115,Red,2195,2235,2215,
,08/02/2011,125,Red,2180,2220,2200,
,10/02/2011,110,Red,2165,2205,2185,
,11/02/2011,120,Red,1530,1570,1550,
,12/02/2011,85,Red,2150,2190,2170,
,13/02/2011,105,Red,2135,2175,2155,
,14/02/2011,115,Red,2120,2160,2140,
,15/02/2011,130,Red,2105,2145,2125,
,17/02/2011,145,Red,2090,2130,2110,
,18/02/2011,135,Red,1280,1320,1300,
,19/02/2011,85,Red,2075,2115,2095,
,20/02/2011,100,Red,1130,1170,1150,
,21/02/2011,105,Red,1115,1155,1135,
,22/02/2011,115,Red,1100,1140,1120,
,24/02/2011,120,Red,1085,1125,1105,
,25/02/2011,130,Red,1095,1135,1115,
,26/02/2011,115,Red,1085,1115,1100,
,27/02/2011,120,Red,1070,1110,1090,
,28/02/2011,125,Red,1065,1105,1085,
Ait,03/02/2011,0.5,Other,NR,NR,1700,
,04/02/2011,1,Other,NR,NR,1100,
,05/02/2011,1,Other,NR,NR,1200,
,08/02/2011,2.5,Other,NR,NR,1200,
,18/02/2011,1.5, ,NR,NR,NR,
,23/02/2011,1.5,Other,NR,NR,1200,
,27/02/2011,1.2, ,NR,NR,NR,
,28/02/2011,3.2,Other,NR,NR,890,
Ajuha,03/02/2011,17.5,Red,NR,NR,1600,
,07/02/2011,15,Red,NR,NR,1600,
,10/02/2011,16.5,Red,NR,NR,1500,
,14/02/2011,17,Red,NR,NR,1400,
,17/02/2011,18,Red,NR,NR,1400,
,21/02/2011,25,Red,NR,NR,1000,
,24/02/2011,20,Red,NR,NR,1000,
,28/02/2011,22.5,Red,NR,NR,1000,
Akbarpur,03/02/2011,5.6,Other,1600,1750,1650,
,04/02/2011,5.6,Other,1600,1750,1675,
,05/02/2011,4.5,Other,1600,1800,1700,
,09/02/2011,4.2,Other,1400,1550,1500,
,11/02/2011,6.5,Other,1400,1600,1500,
,12/02/2011,7,Other,1400,1550,1500,
,13/02/2011,6.5,Other,1400,1500,1450,
,14/02/2011,7,Other,1350,1450,1400,
,18/02/2011,5.2,Other,1300,1450,1400,
,20/02/2011,5,Other,1250,1350,1300,
,24/02/2011,6.2,Other,1200,1300,1250,
