Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/11/2012,45,Red,670,730,700,
,02/11/2012,18,Red,700,740,720,
,03/11/2012,12,Red,720,760,740,
,05/11/2012,18,Red,710,750,730,
,07/11/2012,11,Red,750,800,780,
,08/11/2012,15,Red,725,775,750,
,09/11/2012,12,Red,750,800,780,
,10/11/2012,10,Red,775,825,800,
,12/11/2012,13,Red,750,800,780,
,16/11/2012,13,Red,760,800,780,
,17/11/2012,15,Red,750,790,770,
,19/11/2012,13,Red,780,820,800,
,20/11/2012,10,Red,850,900,875,
,21/11/2012,8,Red,925,975,950,
,22/11/2012,7,Red,1000,1040,1025,
,23/11/2012,6.5,Red,1050,1100,1075,
,24/11/2012,6,Red,1080,1120,1100,
,26/11/2012,12,Red,1050,1100,1070,
,27/11/2012,10,Red,1080,1130,1110,
,28/11/2012,8,Red,1100,1150,1130,
,29/11/2012,7,Red,880,925,900,
,30/11/2012,11,Red,1100,1140,1120,
Agra,02/11/2012,190,Red,NR,NR,985,
,03/11/2012,175,Red,NR,NR,1000,
,04/11/2012,180,Red,NR,NR,990,
,05/11/2012,195,Red,NR,NR,985,
,06/11/2012,205,Red,NR,NR,980,
,07/11/2012,195,Red,NR,NR,1000,
,08/11/2012,189,Red,NR,NR,1020,
,09/11/2012,197,Red,NR,NR,1015,
,10/11/2012,180,Red,NR,NR,1050,
,11/11/2012,185,Red,NR,NR,1040,
,12/11/2012,205,Red,NR,NR,1025,
,13/11/2012,210,Red,NR,NR,1030,
,14/11/2012,240,Red,NR,NR,1020,
,15/11/2012,200,Red,NR,NR,1050,
,16/11/2012,180,Red,NR,NR,1080,
,17/11/2012,173,Red,NR,NR,1100,
,18/11/2012,167,Red,NR,NR,1110,
,19/11/2012,164,Red,NR,NR,1120,
,20/11/2012,185,Red,NR,NR,1110,
,21/11/2012,180,Red,NR,NR,1125,
,22/11/2012,195,Red,NR,NR,1120,
,23/11/2012,183,Red,NR,NR,1130,
,24/11/2012,175,Red,NR,NR,1150,
,25/11/2012,165,Red,NR,NR,1160,
,26/11/2012,161,Red,NR,NR,1175,
,27/11/2012,175,Red,NR,NR,1170,
,28/11/2012,170,Red,NR,NR,1180,
,29/11/2012,190,Red,NR,NR,1165,
,30/11/2012,183,Red,NR,NR,1170,
Ajuha,01/11/2012,19.5,Other,NR,NR,900,
,05/11/2012,16.5,Other,NR,NR,1000,
,08/11/2012,18,Other,NR,NR,1000,
,12/11/2012,18,Other,NR,NR,1025,
,15/11/2012,16.5,Other,NR,NR,1050,
,19/11/2012,17,Other,NR,NR,1050,
,22/11/2012,17.5,Other,NR,NR,1065,
,26/11/2012,17,Other,NR,NR,1085,
,29/11/2012,14.5,Other,NR,NR,1085,
Aligarh,01/11/2012,40,Other,900,1100,960,
,02/11/2012,45,Other,900,1100,970,
,03/11/2012,40,Other,900,1100,970,
