Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/04/2015,17,Red,1600,1800,1700,
,02/04/2015,20,Red,1500,1700,1600,
,03/04/2015,18,Red,1600,1700,1650,
,04/04/2015,16,Red,1600,1750,1700,
,06/04/2015,20,Red,1400,1600,1500,
,07/04/2015,16.5,Red,1400,1600,1520,
,08/04/2015,21,Red,NR,NR,1480,
,09/04/2015,24,Red,NR,NR,1450,
,10/04/2015,27,Red,1380,1500,1430,
,11/04/2015,20,Red,NR,NR,1460,
,13/04/2015,15,Red,NR,NR,1475,
,14/04/2015,13,Red,NR,NR,1480,
,15/04/2015,12,Red,NR,NR,1490,
,16/04/2015,22,Red,NR,NR,1400,
,17/04/2015,18,Red,NR,NR,1425,
,18/04/2015,14,Red,NR,NR,1450,
,20/04/2015,26,Red,NR,NR,1400,
,21/04/2015,18,Red,NR,NR,1440,
,22/04/2015,15,Red,NR,NR,1450,
,23/04/2015,17.5,Red,NR,NR,1425,
,24/04/2015,22,Red,NR,NR,1445,
,25/04/2015,17.5,Red,NR,NR,1460,
,27/04/2015,22,Red,NR,NR,1440,
,28/04/2015,17,Red,NR,NR,1460,
,29/04/2015,14,Red,NR,NR,1480,
,30/04/2015,17,Red,NR,NR,1450,
Achnera,30/04/2015,25,Red,1400,1500,1450,
Agra,06/04/2015,220,Other,NR,NR,1875,
,07/04/2015,246,Red,1820,1900,1865,
,08/04/2015,280,Red,1720,1830,1780,
,09/04/2015,310,Red,1600,1690,1650,
,10/04/2015,320,Red,1500,1600,1560,
,14/04/2015,360,Red,1360,1480,1420,
,15/04/2015,3200,Red,390,450,410,
,16/04/2015,380, ,NR,NR,NR,
,17/04/2015,380,Red,1370,1450,1400,
,18/04/2015,385,Red,1320,NR,1370,
,20/04/2015,388,Red,1320,1400,1360,
,21/04/2015,389,Red,1300,1380,1340,
,22/04/2015,380,Red,1350,1450,1400,
,23/04/2015,3900,Red,1350,1430,1395,
,24/04/2015,370,Red,1360,1460,1410,
,25/04/2015,350,Red,1400,1500,1430,
Ahirora,27/04/2015,8,Other,NR,NR,1560,
Ajuha,02/04/2015,49.5,Local,NR,NR,1580,
,06/04/2015,54,Local,NR,NR,1585,
,09/04/2015,51,Local,NR,NR,1585,
,13/04/2015,63.5,Local,NR,NR,1580,
,16/04/2015,73.5, ,NR,NR,NR,
,20/04/2015,58,Local,NR,NR,1520,
,23/04/2015,66,Local,NR,NR,1520,
,27/04/2015,57,Local,NR,NR,1565,
,30/04/2015,74,Local,NR,NR,1500,
Akbarpur,10/04/2015,34,Nasik,1460,1560,1510,
,15/04/2015,25,Nasik,1460,1560,1510,
,17/04/2015,34,Nasik,1460,1560,1510,
,22/04/2015,32,Nasik,1450,1550,1500,
,24/04/2015,32,Nasik,1450,1550,1500,
Aligarh,01/04/2015,80,Dry F.A.Q.,1450,1500,1470,
,02/04/2015,70,Dry F.A.Q.,1400,1500,1450,
,03/04/2015,80,Dry F.A.Q.,1400,1500,1440,
,04/04/2015,85,Dry F.A.Q.,1350,1450,1400,
,06/04/2015,80, ,NR,NR,NR,
,07/04/2015,90,Dry F.A.Q.,1350,1440,1400,
,08/04/2015,80,Dry F.A.Q.,1350,1450,1380,
