Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/12/2015,12,Red,NR,NR,2400,
,02/12/2015,11,Red,NR,NR,2450,
,03/12/2015,10,Red,NR,NR,2500,
,04/12/2015,15,Red,NR,NR,2400,
,05/12/2015,20,Red,NR,NR,2200,
,07/12/2015,22,Red,NR,NR,2150,
,08/12/2015,25,Red,NR,NR,1850,
,09/12/2015,14,Red,NR,NR,1880,
,10/12/2015,20,Red,NR,NR,1650,
,11/12/2015,15,Red,NR,NR,1700,
,12/12/2015,11,Red,NR,NR,1720,
,14/12/2015,25,Red,NR,NR,1500,
,15/12/2015,20,Red,NR,NR,1550,
,16/12/2015,17, ,NR,NR,NR,
,17/12/2015,25, ,NR,NR,NR,
,18/12/2015,20,Red,NR,NR,1520,
,19/12/2015,27,Red,NR,NR,1500,
,21/12/2015,30,Red,NR,NR,1450,
,22/12/2015,25,Red,NR,NR,2470,
,23/12/2015,20,Red,NR,NR,1500,
,24/12/2015,30,Red,NR,NR,1450,
,25/12/2015,28,Red,NR,NR,1465,
,26/12/2015,25,Red,NR,NR,1500,
,28/12/2015,40,Red,NR,NR,1440,
,29/12/2015,30,Red,NR,NR,1480,
,30/12/2015,20,Red,NR,NR,1500,
,31/12/2015,40,Red,NR,NR,1450,
Achnera,31/12/2015,32,Red,NR,NR,1500,
Agra,02/12/2015,370,Red,NR,NR,2520,
,03/12/2015,380,Red,NR,NR,2460,
,04/12/2015,390,Red,NR,NR,2430,
,05/12/2015,380,Red,NR,NR,2440,
,08/12/2015,460,Red,NR,NR,2020,
,09/12/2015,500,Red,NR,NR,1950,
,11/12/2015,530,Red,NR,NR,1820,
,12/12/2015,540,Red,NR,NR,1840,
,14/12/2015,540,Red,NR,NR,1800,
,15/12/2015,350,Red,NR,NR,1750,
,16/12/2015,530,Red,NR,NR,1770,
,17/12/2015,560,Red,NR,NR,1740,
,18/12/2015,570,Red,NR,NR,1700,
,19/12/2015,560,Red,NR,NR,1720,
,21/12/2015,570,Red,NR,NR,1680,
,22/12/2015,580,Red,NR,NR,1640,
,23/12/2015,600,Red,NR,NR,530,
,25/12/2015,620,Red,NR,NR,1480,
,26/12/2015,640,Red,NR,NR,1500,
,28/12/2015,610,Red,NR,NR,1550,
,29/12/2015,630,Red,NR,NR,1530,
,30/12/2015,680,Red,NR,NR,1520,
,31/12/2015,680,Red,NR,NR,1500,
Ahirora,28/12/2015,8,Other,1250,1340,1300,
Ajuha,03/12/2015,76.5,Local,NR,NR,2200,
,07/12/2015,85,Local,NR,NR,2000,
,10/12/2015,62,Local,NR,NR,1800,
,14/12/2015,77,Local,NR,NR,1700,
,17/12/2015,52,Local,NR,NR,1700,
,21/12/2015,58,Local,NR,NR,1720,
,24/12/2015,84,Local,NR,NR,1500,
,28/12/2015,87.5,Local,NR,NR,1400,
,31/12/2015,77,Local,NR,NR,1400,
Aligarh,01/12/2015,70,Dry F.A.Q.,1750,1850,1800,
,02/12/2015,60,Dry F.A.Q.,1650,1750,1700,
,03/12/2015,65,Dry F.A.Q.,1620,1700,1670,
,04/12/2015,70,Dry F.A.Q.,1580,1650,1600,
,05/12/2015,80,Dry F.A.Q.,1540,1620,1570,
,09/12/2015,80,Dry F.A.Q.,1400,1500,1450,
,10/12/2015,85,Dry F.A.Q.,1380,1450,1400,
,11/12/2015,90,Dry F.A.Q.,1380,1420,1400,
,12/12/2015,80,Dry F.A.Q.,1400,1460,1430,
,14/12/2015,70,Dry F.A.Q.,1430,1500,1480,
,15/12/2015,65,Dry F.A.Q.,1470,1530,1500,
,16/12/2015,70,Dry F.A.Q.,1400,1550,1480,
,17/12/2015,75,Dry F.A.Q.,1450,1550,1500,
,18/12/2015,80, ,NR,NR,NR,
,19/12/2015,80, ,NR,NR,NR,
,21/12/2015,70,Dry F.A.Q.,1300,1400,1350,
,22/12/2015,75,Dry F.A.Q.,1350,1400,1370,
,23/12/2015,80, ,NR,NR,NR,
,24/12/2015,70,Dry F.A.Q.,1340,1400,1370,
,25/12/2015,60,Dry F.A.Q.,1300,1400,1350,
,26/12/2015,75,Dry F.A.Q.,1300,1400,1360,
,29/12/2015,75,Dry F.A.Q.,1300,1400,1340,
Allahabad,01/12/2015,150,Local,NR,NR,2000,
,02/12/2015,170,Local,NR,NR,2000,
,04/12/2015,200,Local,NR,NR,1875,
,05/12/2015,220,Local,NR,NR,1875,
,07/12/2015,250,Local,NR,NR,1850,
,08/12/2015,350,Local,NR,NR,1750,
,09/12/2015,300,Local,NR,NR,1750,
,10/12/2015,340,Local,NR,NR,1500,
,11/12/2015,310,Local,NR,NR,1500,
,12/12/2015,280,Other,NR,NR,1500,
,14/12/2015,300,Other,NR,NR,1500,
,15/12/2015,340,Local,NR,NR,1450,
,16/12/2015,360,Local,NR,NR,1450,
,17/12/2015,310,Local,NR,NR,1450,
,18/12/2015,280,Local,NR,NR,1200,
,19/12/2015,220,Local,NR,NR,1200,
,21/12/2015,350,Local,NR,NR,1050,
,22/12/2015,300,Local,NR,NR,1050,
,23/12/2015,400,Local,NR,NR,1000,
,24/12/2015,380,Local,NR,NR,1000,
,25/12/2015,360,Local,NR,NR,1000,
,26/12/2015,330,Local,NR,NR,1000,
,28/12/2015,320,Local,NR,NR,1000,
,29/12/2015,310,Local,NR,NR,960,
,30/12/2015,350,Local,NR,NR,960,
,31/12/2015,300,Local,NR,NR,960,
Anandnagar,01/12/2015,20,Red,2450,2700,2650,
,02/12/2015,15,Red,2000,2650,2450,
,03/12/2015,40,Red,2000,2600,2200,
,04/12/2015,20,Red,2200,2650,2450,
,05/12/2015,30,Red,2000,2450,2150,
,06/12/2015,15,Red,2100,2450,2250,
,07/12/2015,20,Red,1900,2400,2050,
,14/12/2015,25,Red,1900,2250,2100,
,15/12/2015,20, ,NR,NR,NR,
,16/12/2015,15,Red,1900,2200,2000,
,19/12/2015,15,Red,1500,1800,1650,
,20/12/2015,20,Red,1500,1850,1650,
,21/12/2015,20,Red,1500,1800,1650,
,22/12/2015,20,Red,1600,1900,1700,
,23/12/2015,25,Red,1450,1850,1650,
,24/12/2015,30,Red,1500,1800,1600,
,26/12/2015,15,Red,1450,1800,1650,
,27/12/2015,25,Red,1500,1850,1650,
,28/12/2015,20,Red,1425,1800,1600,
,29/12/2015,15,Red,1400,1800,1600,
,30/12/2015,25,Red,1400,1800,1625,
,31/12/2015,35,Red,1400,1800,1600,
Anoop Shahar,29/12/2015,8.5,Red,1600,1725,1675,
Anwala,29/12/2015,1216,Onion,NR,NR,1275,
Atarra,05/12/2015,2.5,Red,1900,2000,1950,
,06/12/2015,2,Red,1900,2000,1950,
,07/12/2015,1.5,Red,1800,2000,1900,
,08/12/2015,2,Red,1800,2000,1900,
,09/12/2015,2,Red,1800,2000,1900,
,10/12/2015,3,Red,1800,2000,1900,
,15/12/2015,2,Red,1700,1900,1800,
,16/12/2015,3,Red,1700,1900,1800,
,17/12/2015,2.5,Red,1700,1900,1800,
,19/12/2015,1.5,Red,1700,1900,1800,
,20/12/2015,3.5,Red,1700,1900,1800,
,21/12/2015,2.5,Red,1700,1900,1800,
,22/12/2015,4,Red,1700,1900,1800,
,26/12/2015,2.5,Red,1400,1600,1500,
,27/12/2015,2,Red,1400,1600,1500,
,28/12/2015,2.5,Red,1400,1600,1500,
,29/12/2015,4,Red,1400,1600,1500,
,30/12/2015,2,Red,1400,1600,1500,
,31/12/2015,3,Red,1400,1600,1500,
Atrauli,25/12/2015,80,Dry F.A.Q.,1350,1380,1360,
Auraiya,08/12/2015,2,Red,NR,NR,1525,
,09/12/2015,2.5,Red,NR,NR,1510,
,10/12/2015,1.5,Red,NR,NR,1550,
,11/12/2015,2,Red,NR,NR,1560,
,12/12/2015,1.5,Red,NR,NR,1570,
,14/12/2015,2,Red,NR,NR,1575,
,15/12/2015,2.5,Red,NR,NR,1400,
,16/12/2015,1.5,Red,NR,NR,1415,
,17/12/2015,2,Red,NR,NR,1410,
,18/12/2015,1.5, ,NR,NR,NR,
,19/12/2015,2.5, ,NR,NR,NR,
,21/12/2015,2,Red,NR,NR,1410,
,22/12/2015,1.5,Red,NR,NR,1390,
,23/12/2015,3,Red,NR,NR,1400,
,24/12/2015,3.5,Red,NR,NR,1410,
,25/12/2015,2.5,Red,NR,NR,1400,
,26/12/2015,1.5,Red,NR,NR,1400,
Azamgarh,02/12/2015,120,Red,2050,2175,2100,
,03/12/2015,125,Red,2000,2100,2050,
,04/12/2015,121.5,Red,NR,NR,2080,
,05/12/2015,125,Red,1900,2000,1950,
,07/12/2015,127.5,Red,1850,1935,1900,
,08/12/2015,132,Red,1800,1900,1850,
,09/12/2015,127.5,Red,1750,1900,1825,
,10/12/2015,130,Red,1745,1850,1800,
,11/12/2015,132.5,Red,1700,1790,1750,
,12/12/2015,130,Red,NR,NR,1700,
,14/12/2015,135,Red,1550,1680,1625,
,16/12/2015,147.5,Red,1450,1550,1500,
,17/12/2015,140,Red,1415,1550,1475,
,18/12/2015,142,Red,1400,1490,1450,
,19/12/2015,150,Red,1325,1450,1380,
,22/12/2015,137.5,Red,1325,1400,1365,
,23/12/2015,120,Red,1310,1385,1350,
,24/12/2015,110,Red,1300,1370,1325,
,25/12/2015,115,Red,1285,1370,1320,
,26/12/2015,120,Red,1260,1340,1300,
,28/12/2015,128,Red,1300,1370,1335,
,29/12/2015,131.5,Red,1260,1335,1300,
,30/12/2015,128,Red,1320,1380,1350,
,31/12/2015,125,Red,1325,1430,1380,
Baberu,01/12/2015,3,Other,2400,2600,2450,
,03/12/2015,4.5,Other,2400,2600,2450,
