Month-Year,Brent,Dubai,Indian-Basket,Oman,WTI
February-2015,58.13,55.44,56.43,56.23,50.66
January-2015,47.86,45.57,46.59,46.61,47.24
December-2014,62.53,60.25,61.21,61.61,59.49
November-2014,78.89,76.33,77.58,77.81,76.16
October-2014,87.40,86.63,86.83,86.67,84.43
September-2014,97.30,96.47,96.96,97.18,93.24
August-2014,101.16,101.73,101.89,102.15,96.38
July-2014,106.64,106.15,106.31,106.16,102.82
June-2014,111.65,108.03,109.13,108.06,105.22
May-2014,109.61,105.66,106.94,105.80,101.93
April-2014,107.63,104.68,105.62,104.93,102.02
March-2014,107.54,104.32,105.29,104.34,100.53
February-2014,108.87,105.04,106.19,105.04,100.79
JANUARY-2014,108.25,104.02,105.29,104.02,94.93
December-2013,110.81,107.86,108.72,107.89,97.81
October-2013,109.04,106.64,107.38,106.72,100.41
September-2013,111.89,108.28,109.46,108.56,106.19
August-2013,111.25,107.11,108.45,107.24,106.55
July-2013,107.95,103.52,104.86,103.53,104.66
June-2013,102.91,100.32,101.16,100.35,95.75
May-2013,102.49,100.33,101.14,100.49,94.60
April-2013,101.92,101.68,101.58,101.72,91.97
March-2013,108.37,105.55,106.45,105.56,92.87
February-2013,116.29,111.10,112.68,111.10,95.28
January-2013,113.01,107.94,109.55,107.94,94.74
December-2012,109.36,106.34,107.28,106.34,88.23
November-2012,109.11,107.26,107.87,107.27,86.57
October-2012,111.61,108.87,109.79,108.90,89.45
September-2012,112.86,111.22,111.77,111.31,94.45
August-2012,113.37,108.59,110.07,108.90,93.99
July-2012,102.59,99.15,100.34,99.43,87.80
June-2012,94.84,94.44,94.52,94.49,82.32
May-2012,110.20,107.31,108.13,107.37,94.62
April-2012,119.54,117.30,118.04,117.44,103.35
March-2012,125.33,122.47,123.61,122.92,106.31
February-2012,119.56,116.17,117.67,117.15,102.29
January-2012,110.58,109.80,110.47,110.83,100.35
December-2011,107.84,106.43,107.20,107.28,98.55
November-2011,110.66,109.00,109.62,109.35,97.17
October-2011,109.44,103.95,106.11,104.76,86.45
September-2011,113.13,106.31,108.79,106.65,85.55
August-2011,110.37,105.02,106.94,105.35,86.31
July-2011,116.89,109.99,112.37,110.41,97.28
June-2011,114.04,107.77,109.85,107.90,96.21
May-2011,114.56,108.38,110.65,108.89,101.22
April-2011,123.49,116.01,118.46,116.56,109.89
March-2011,114.60,108.71,110.72,109.00,103.03
February-2011,103.76,100.24,101.62,100.60,89.57
January-2011,96.54,92.52,93.87,92.66,89.38
December-2010,91.36,89.05,89.78,89.12,89.08
November-2010,85.33,83.65,84.26,83.83,84.20
October-2010,82.75,80.22,81.11,80.44,81.89
September-2010,77.80,75.12,76.09,75.42,75.17
August-2010,77.15,74.09,75.13,74.37,76.62
July-2010,75.64,72.49,73.54,72.59,76.32
June-2010,74.85,73.99,74.33,74.18,75.29
May-2010,75.17,76.78,76.16,77.04,73.67
April-2010,84.89,83.59,84.08,83.67,84.44
March-2010,78.90,77.31,78.02,77.72,81.25
February-2010,73.63,73.48,73.65,73.92,76.45
December-2009,74.28,75.42,75.02,75.48,74.47
November-2009,76.66,77.71,77.39,77.88,78.06
October-2009,72.76,73.15,73.07,73.34,75.73
September-2009,67.39,67.64,67.70,68.16,69.41
August-2009,72.83,71.34,71.98,71.57,71.07
July-2009,64.61,64.82,64.83,65.08,64.10
June-2009,68.55,69.41,69.12,69.47,69.64
