Month,Delhi,Mumbai,Month-Year
05-June-2006,47.51,53.5,05-06-2006
20-June-2006,46.85,52.71,20-06-2006
30-November-2006,44.85,50.58,30-11-2006
16-February-2007,42.85,48.45,16-02-2007
01-March-2007,42.85,48.41,01-03-2007
16-May-2007,42.85,48.38,16-05-2007
06-June-2007,43.52,48.38,06-06-2007
15-February-2008,45.52,50.51,15-02-2008
24-May-2008,45.56,50.54,24-05-2008
06-June-2008,50.56,55.88,06-06-2008
16-July-2008,50.62,55.04,16-07-2008
06-November-2008,50.62,55.04,06-11-2008
06-December-2008,45.62,49.8,06-12-2008
29-January-2009,40.62,44.55,29-01-2009
02-July-2009,44.72,48.76,02-07-2009
27-February-2010,47.43,51.68,27-02-2010
01-April-2010,47.93,52.2,01-04-2010
26-June-2010,51.43,55.88,26-06-2010
08-September-2010,51.56,55.97,08-09-2010
21-September-2010,51.83,56.25,21-09-2010
17-October-2010,52.59,57.01,17-10-2010
02-November-2010,52.59,57.01,02-11-2010
09-November-2010,52.91,57.35,09-11-2010
16-December-2010,55.87,60.46,16-12-2010
16-January-2011,58.37,63.08,16-01-2011
02-March-2011,58.37,63.08,02-03-2011
15-May-2011,63.37,68.33,15-05-2011
01-July-2011,63.7,68.62,01-07-2011
16-September-2011,66.84,71.91,16-09-2011
04-November-2011,68.64,73.81,04-11-2011
16-November-2011,66.42,71.47,16-11-2011
01-December-2011,65.64,70.66,01-12-2011
24-May-2012,73.18,78.57,24-05-2012
03-June-2012,71.16,76.45,03-06-2012
18-June-2012,70.24,76.45,18-06-2012
29-June-2012,67.78,73.35,29-06-2012
24-July-2012,68.48,74.23,24-07-2012
25-July-2012,68.48,75.14,25-07-2012
01-August-2012,68.46,75.14,01-08-2012
09-October-2012,67.9,74.43,09-10-2012
27-October-2012,68.19,74.73,27-10-2012
16-November-2012,67.24,73.53,16-11-2012
01-January-2013,67.24,74.32,01-01-2013
16-January-2013,67.56,74.32,16-01-2013
18-January-2013,67.26,74,18-01-2013
16-February-2013,69.06,75.89,16-02-2013
02-March-2013,70.74,77.66,02-03-2013
16-March-2013,68.34,75.14,16-03-2013
01-April-2013,68.31,75.21,01-04-2013
02-April-2013,67.29,74.14,02-04-2013
16-April-2013,66.09,72.88,16-04-2013
01-May-2013,63.09,69.73,01-05-2013
23-May-2013,63.09,71.13,23-05-2013
01-June-2013,63.99,72.08,01-06-2013
16-June-2013,66.39,74.6,16-06-2013
29-June-2013,68.58,76.9,29-06-2013
01-July-2013,68.58,75.79,01-07-2013
15-July-2013,70.44,77.73,15-07-2013
01-August-2013,71.28,78.61,01-08-2013
01-September-2013,74.1,81.57,01-09-2013
14-September-2013,76.06,83.62,14-09-2013
01-October-2013,72.4,79.49,01-10-2013
01-November-2013,71.02,78.04,01-11-2013
21-December-2013,71.52,78.56,21-12-2013
04-January-2014,72.43,79.52,04-01-2014
05-January-2014,72.43,81.31,05-01-2014
01-March-2014,73.16,82.07,01-03-2014
01-April-2014,72.26,80.89,01-04-2014
16-April-2014,71.41,80,16-04-2014
07-June-2014,71.51,80.11,07-06-2014
25-June-2014,71.56,80.16,25-06-2014
01-July-2014,73.6,81.75,01-07-2014
01-August-2014,72.51,80.6,01-08-2014
15-August-2014,70.33,78.32,15-08-2014
31-August-2014,68.51,76.41,31-08-2014
01-October-2014,67.86,75.73,01-10-2014
15-October-2014,66.65,74.46,15-10-2014
01-November-2014,64.24,71.91,01-11-2014
01-December-2014,63.33,70.95,01-12-2014
16-December-2014,61.33,68.86,16-12-2014
16-January-2015,61.33,68.86,16-01-2015
17-January-2015,58.91,66.36,17-01-2015
04-February-2015,56.49,63.9,04-02-2015
16-February-2015,57.31,64.81,16-02-2015
01-March-2015,60.49,68.14,01-03-2015
02-April-2015,60,67.53,02-04-2015
16-April-2015,59.2,66.69,16-04-2015
01-May-2015,63.16,70.84,01-05-2015
16-May-2015,66.29,74.12,16-05-2015
16-June-2015,66.93,74.78,16-06-2015
01-July-2015,66.62,74.52,01-07-2015
16-July-2015,66.9,71.97,16-07-2015
01-August-2015,64.47,69.51,01-08-2015
15-August-2015,63.2,68.24,15-08-2015
