mandicode,mandiname,statecode,latitude,longitude,centreid
257,Sunam,3,30.1251635,75.8137192,41
225,Jagraon,3,30.7800000,75.4800000,41
797,Sultanpur,3,26.2647757,82.0727061,40
1342,Taal,19,26.2070539,78.1689776,24
472,Karad,2,17.2759841,74.2003231,48
216,Fazilka,3,30.4036478,74.0279621,6
721,Dumka,29,24.2700000,87.2500000,8
435,Alur,25,15.3943076,77.2266653,27
589,Chakdah(Kalyani),6,23.0833330,88.5166670,37
1532,Khilchipur,19,24.0444612,76.5806097,9
746,Tusura,23,20.5036747,83.4830247,60
1040,Chennai,11,13.0826802,80.2707184,12
515,Akbarpur,17,26.0203301,79.6894990,34
898,Salon,17,26.0300000,81.4500000,40
660,Panchkula,16,30.6942091,76.8605650,49
420,Giridih,29,24.1821391,86.2869507,8
713,Mandsaur,19,24.0768360,75.0692952,38
1207,Manawar,19,22.2366679,75.0873956,28
581,Patti,3,31.2800000,74.8600000,5
875,Ranaghat,6,23.1740500,88.5639352,37
1077,Naushera Pannuan,3,30.7081422,76.5863882,11
1519,Banapura,19,22.4729995,77.4831032,9
430,Satara,2,17.6913900,74.0009200,44
642,Khandwa(F&V),19,21.8257334,76.3525710,28
1053,Gadarwada,19,21.9540680,78.9146798,46
567,Sohela,23,21.3027537,83.3989686,60
1440,Penugonda,25,16.6547241,81.7445167,70
214,Dinanagar,3,32.1265656,75.4636031,5
1091,Dhampur,17,29.3058279,78.5062002,25
781,Jaspur(UC),24,29.2783336,78.8266800,25
275,Auraiya,17,26.4700000,79.5200000,34
1175,Varanasi(F&V),17,25.3176452,82.9739144,69
1486,Mohanpur,8,23.9653997,91.3710402,1
1092,Misrikh,17,27.4300000,80.5200000,40
923,Ranebennur,13,14.6167000,75.6167000,18
1292,Dubbak,32,18.1765344,78.6654033,76
1513,"AMO, Mumbai",18,33.7781750,76.5761714,17
1518,Mehsana(Jornang),14,23.5879607,72.3693252,3
936,Nippani,13,17.3876754,76.9931074,76
972,Aralamoodu,27,8.4143482,77.0613027,68
1231,Srirangapattana,13,12.4215561,76.6931273,45
798,Vasai,2,19.3919275,72.8397317,44
215,Doraha,3,30.8039183,76.0333885,41
536,Kamlaganj,17,27.2590797,79.6319636,34
673,Golaghat,22,26.5200000,93.9700000,19
75,Bhuntar,10,31.8842653,77.1456402,42
318,Saharanpur,17,29.9670790,77.5510172,15
159,Satana,2,20.5982240,74.2032581,75
244,Muktsar,3,30.4750000,74.5150000,6
232,Kharar,3,30.7488819,76.6413581,11
779,Haridwar Union,24,29.9456906,78.1642478,15
1201,Vita,2,17.2751726,74.5357127,18
47,Gurgaon,16,28.4594965,77.0266383,22
1138,Anand,14,22.5560000,72.9510000,3
197,Abohar,3,30.1452928,74.1993043,6
241,Morinda,3,30.7900000,76.5000000,11
1150,Sehore,19,23.2050120,77.0850781,9
1308,Aron,19,24.3811310,77.4182234,9
347,Adoni,25,15.6322227,77.2728368,27
699,Gunpur,23,19.6090906,83.1146324,71
1153,Dera Baba Nanak,3,32.0321859,75.0304481,5
1069,Sagar,13,23.8388050,78.7378068,59
738,Dibiapur,17,26.6358330,79.5566670,34
1147,Babrala,17,28.2636806,78.4037329,2
1012,Kicchha,24,28.9200000,79.5000000,25
1415,Gaya,26,24.7954523,84.9994310,50
1143,Shajapur,19,23.4272938,76.2729839,28
10,Mapusa,1,15.6002273,73.8124984,48
79,Kangra,10,32.0998031,76.2691006,17
187,Keonjhar,23,21.5151196,85.6845780,14
1316,Dabra,19,25.8907463,78.3324512,24
509,Ateli,16,28.1056349,76.2800859,22
1036,Haveri,13,14.7938890,75.4038890,18
1176,Pargi,32,17.1765832,77.8767442,76
818,Sahidngar,23,21.2989945,86.5381738,14
514,Ait,17,25.8935522,79.2410128,24
616,Ettumanoor,27,9.6703602,76.5608746,21
1252,Aarah,26,25.5560443,84.6603307,50
103,Lohardaga,29,23.4300000,84.6800000,56
528,Charkhari,17,25.4018785,79.7501005,34
462,Sahebganj,29,24.9801917,87.6186379,8
424,Junnar(Otur),2,19.2000000,73.8800000,44
1496,Bhikangaon,19,21.8681333,75.9628596,28
295,Gonda,17,27.1339913,81.9618968,40
655,Palthan,2,19.4776906,75.3849382,44
1445,Pandavapura,13,12.4928616,76.6642853,45
155,Pune(Hadapsar),2,18.5204303,73.8567437,44
