SUBDIVISION,MADHYA MAHARASHTRA,GUJARAT REGION,EAST RAJASTHAN,Month-Year
JAN-2006,0,0,0,01-2006
FEB-2006,0,0,0,02-2006
MAR-2006,7.1,0.8,11.9,03-2006
APR-2006,0.2,0,0.4,04-2006
MAY-2006,42.3,0.2,13.1,05-2006
JUN-2006,205.3,123.5,73.8,06-2006
JUL-2006,416.4,576,215.9,07-2006
AUG-2006,421.7,624.8,341.5,08-2006
SEP-2006,217,140.6,88.9,09-2006
OCT-2006,60.1,9.2,2.4,10-2006
NOV-2006,25.5,2.9,0.1,11-2006
DEC-2006,0,0,0.5,12-2006
JAN-2007,1.3,0.1,0.7,01-2007
FEB-2007,0.4,0.4,16.8,02-2007
MAR-2007,0,0,10.6,03-2007
APR-2007,2.1,0,1.5,04-2007
MAY-2007,5.5,0.3,5.5,05-2007
JUN-2007,266.9,94,63,06-2007
JUL-2007,293.5,567.8,223,07-2007
AUG-2007,274.2,345.6,167.9,08-2007
SEP-2007,189.2,169.4,86.1,09-2007
OCT-2007,3.4,0,0,10-2007
NOV-2007,3.9,1.4,0,11-2007
DEC-2007,0,0,0.5,12-2007
JAN-2008,0,0,0.1,01-2008
FEB-2008,0,0,0,02-2008
MAR-2008,18.1,0,0.5,03-2008
APR-2008,0.6,3.1,9,04-2008
MAY-2008,1.1,0.1,22.1,05-2008
JUN-2008,107.9,58.2,160.6,06-2008
JUL-2008,157.9,261.9,166.1,07-2008
AUG-2008,257.6,369.5,167.9,08-2008
SEP-2008,312.4,204.3,112.7,09-2008
OCT-2008,56.6,11.6,3,10-2008
NOV-2008,3.7,0.1,2.4,11-2008
DEC-2008,0.9,2.3,0.1,12-2008
JAN-2009,0,0,0.5,01-2009
FEB-2009,1.7,0,0.2,02-2009
MAR-2009,0.8,0.3,2.4,03-2009
APR-2009,0.4,0,0.2,04-2009
MAY-2009,7.7,0,5.7,05-2009
JUN-2009,68.9,17,38.9,06-2009
JUL-2009,329.8,390.3,189.1,07-2009
AUG-2009,148.2,143.5,113.3,08-2009
SEP-2009,162.6,54.9,45.5,09-2009
OCT-2009,96.2,27.4,10.9,10-2009
NOV-2009,121.3,8.1,7,11-2009
DEC-2009,4.3,0,0.5,12-2009
JAN-2010,2.9,0.2,1.9,01-2010
FEB-2010,0.1,0,2.4,02-2010
MAR-2010,0.9,0,0.5,03-2010
APR-2010,2.3,0,0.4,04-2010
MAY-2010,5.4,0,0.7,05-2010
JUN-2010,185.6,59.3,27.3,06-2010
JUL-2010,280.9,328.2,196.2,07-2010
AUG-2010,233.2,431,275.9,08-2010
SEP-2010,165.6,216.6,128.9,09-2010
OCT-2010,77.1,12.2,0.8,10-2010
NOV-2010,73.4,41,49.5,11-2010
DEC-2010,0.2,0.2,5,12-2010
JAN-2011,0,0,0,01-2011
FEB-2011,0.3,0.2,11.2,02-2011
MAR-2011,0.3,0,0.2,03-2011
APR-2011,5,0,0.5,04-2011
MAY-2011,2.9,0,5.1,05-2011
JUN-2011,133.3,16.3,140.9,06-2011
JUL-2011,261.4,259.2,193.6,07-2011
AUG-2011,238.1,451.7,284.1,08-2011
SEP-2011,148.4,162.5,166.4,09-2011
OCT-2011,62.8,0.4,0,10-2011
NOV-2011,0,0,0,11-2011
DEC-2011,0,0,0,12-2011
JAN-2012,0,0.1,1.9,01-2012
FEB-2012,0,0,0,02-2012
MAR-2012,0,0,0,03-2012
APR-2012,3,0,3.6,04-2012
MAY-2012,1.4,0,9.5,05-2012
JUN-2012,67.9,34.4,11.2,06-2012
JUL-2012,203,178.2,170.5,07-2012
AUG-2012,187.8,230.3,365,08-2012
SEP-2012,129.5,263.8,131.3,09-2012
OCT-2012,95.2,7.1,0.5,10-2012
NOV-2012,2.2,0,0,11-2012
DEC-2012,0,0,0.1,12-2012
JAN-2013,0.1,0,1.4,01-2013
FEB-2013,5.3,0.9,21.7,02-2013
MAR-2013,0.8,0.1,0.4,03-2013
APR-2013,5.7,4.6,3.2,04-2013
MAY-2013,6,0,1,05-2013
JUN-2013,212.4,155.7,90.6,06-2013
JUL-2013,311.8,405.4,319,07-2013
AUG-2013,147,211.1,278.5,08-2013
SEP-2013,210.3,287.3,88,09-2013
OCT-2013,57.8,53.2,30.6,10-2013
NOV-2013,4,0.1,1.3,11-2013
DEC-2013,1.3,0,0.3,12-2013
JAN-2014,3.1,5.7,28.4,01-2014
FEB-2014,6.2,0.1,10,02-2014
MAR-2014,24.4,0.2,6.4,03-2014
APR-2014,7.5,1,7.3,04-2014
MAY-2014,29.8,1.3,8.4,05-2014
JUN-2014,44,11.6,23.5,06-2014
JUL-2014,277.9,307.5,197.1,07-2014
AUG-2014,240.3,138.6,261,08-2014
SEP-2014,120.4,235.1,136.9,09-2014
OCT-2014,38.5,3.3,3.2,10-2014
NOV-2014,32.8,1.3,0,11-2014
DEC-2014,13.1,0,1.1,12-2014
JAN-2015,1.4,1.8,12.1,01-2015
FEB-2015,0.8,0,0.1,02-2015
MAR-2015,41.2,6.1,55.9,03-2015
APR-2015,9.6,5.5,15.9,04-2015
MAY-2015,24.4,0.9,3.5,05-2015
JUN-2015,177,120.7,96.4,06-2015
JUL-2015,111.7,354.7,297.6,07-2015
AUG-2015,67.2,37.4,142.8,08-2015
SEP-2015,146.6,93.4,20.1,09-2015
OCT-2015,48.3,2.2,5,10-2015
NOV-2015,16.2,0.3,0.5,11-2015
DEC-2015,0.1,0,0.8,12-2015
