date,mean
2007-01-01,292.28799
2007-01-02,292.76901
2007-01-03,292.297
2007-01-04,292.866
2007-01-05,292.73401
2007-01-06,292.51801
2007-01-07,292.60901
2007-01-08,292.72101
2007-01-09,292.75601
2007-01-10,293.396
2007-01-11,293.21301
2007-01-12,293.38901
2007-01-13,293.21201
2007-01-14,292.57001
2007-01-15,293.418
2007-01-16,292.51199
2007-01-17,292.50601
2007-01-18,293.336
2007-01-19,294.20001
2007-01-20,294.53799
2007-01-21,294.254
2007-01-22,293.27399
2007-01-23,293.76401
2007-01-24,296.13101
2007-01-25,296.07101
2007-01-26,296.009
2007-01-27,295.974
2007-01-28,297.24701
2007-01-29,296.776
2007-01-30,297.01901
2007-01-31,298.76901
2007-02-01,298.073
2007-02-02,295.55499
2007-02-03,296.11899
2007-02-04,295.76901
2007-02-05,295.383
2007-02-06,295.745
2007-02-07,295.56601
2007-02-08,296.23499
2007-02-09,297.832
2007-02-10,297.336
2007-02-11,296.23099
2007-02-12,294.71701
2007-02-13,293
2007-02-14,293.659
2007-02-15,294.06201
2007-02-16,294.146
2007-02-17,294.80899
2007-02-18,296.07599
2007-02-19,296.36899
2007-02-20,297.98801
2007-02-21,297.92899
2007-02-22,297.16199
2007-02-23,297.742
2007-02-24,298.42001
2007-02-25,297.33401
2007-02-26,296.823
2007-02-27,297.811
2007-02-28,298.19699
2007-03-01,296.922
2007-03-02,297.94101
2007-03-03,298.638
2007-03-04,300.33099
2007-03-05,299.47501
2007-03-06,299.16101
2007-03-07,298.47
2007-03-08,298.02899
2007-03-09,298.121
2007-03-10,298.52301
2007-03-11,300.64301
2007-03-12,300.13599
2007-03-13,298.61899
2007-03-14,299.854
2007-03-15,299.92899
2007-03-16,300.88901
2007-03-17,302.01199
2007-03-18,302.85599
2007-03-19,304.297
2007-03-20,303.742
2007-03-21,302.01099
2007-03-22,300.05801
2007-03-23,302.22101
2007-03-24,302.73401
2007-03-25,302.375
2007-03-26,303.224
2007-03-27,304.28101
2007-03-28,304.595
2007-03-29,304.43301
2007-03-30,304.79501
2007-03-31,305.86099
2007-04-01,306.07001
2007-04-02,306.09601
2007-04-03,305.58301
2007-04-04,305.28799
2007-04-05,305.56
2007-04-06,306.50101
2007-04-07,305.02399
2007-04-08,304.79401
2007-04-09,304.82501
2007-04-10,305.09399
2007-04-11,305.15302
