Month,ALL COMMODITIES,Onion,Month-Year
Jan-2006,105.4,113.4,01-2006
Feb-2006,105.6,85.9,02-2006
Mar-2006,105.7,80.1,03-2006
Apr-2006,107.8,75,04-2006
May-2006,108.7,79,05-2006
Jun-2006,109.9,84.9,06-2006
Jul-2006,110.8,89.4,07-2006
Aug-2006,111.5,95.1,08-2006
Sep-2006,112.2,101.1,09-2006
Oct-2006,112.7,103,10-2006
Nov-2006,112.6,109.8,11-2006
Dec-2006,112.2,122,12-2006
Jan-2007,112.4,174.8,01-2007
Feb-2007,112.6,189.5,02-2007
Mar-2007,112.8,167.2,03-2007
Apr-2007,114.5,138.7,04-2007
May-2007,114.7,130.9,05-2007
Jun-2007,114.8,155.5,06-2007
Jul-2007,115.7,186.1,07-2007
Aug-2007,116,209.9,08-2007
Sep-2007,116,255.5,09-2007
Oct-2007,116.3,260.4,10-2007
Nov-2007,116.8,230.5,11-2007
Dec-2007,116.7,179.8,12-2007
Jan-2008,117.5,120.5,01-2008
Feb-2008,119,114,02-2008
Mar-2008,121.5,114.4,03-2008
Apr-2008,123.5,113.3,04-2008
May-2008,124.1,107.8,05-2008
Jun-2008,127.3,126.5,06-2008
Jul-2008,128.6,144.1,07-2008
Aug-2008,128.9,170.3,08-2008
Sep-2008,128.5,169.1,09-2008
Oct-2008,128.7,171.4,10-2008
Nov-2008,126.9,211.9,11-2008
Dec-2008,124.5,227.9,12-2008
Jan-2009,124.4,252.8,01-2009
Feb-2009,123.3,230.4,02-2009
Mar-2009,123.5,207.5,03-2009
Apr-2009,125,164.5,04-2009
May-2009,125.9,163.6,05-2009
Jun-2009,126.8,171,06-2009
Jul-2009,128.2,170.8,07-2009
Aug-2009,129.6,166.8,08-2009
Sep-2009,130.3,178.3,09-2009
Oct-2009,131,227.7,10-2009
Nov-2009,132.9,251.2,11-2009
Dec-2009,133.4,268.2,12-2009
Jan-2010,135.2,270.4,01-2010
Feb-2010,135.2,247.8,02-2010
Mar-2010,136.3,171.3,03-2010
Apr-2010,138.6,148,04-2010
May-2010,139.1,139,05-2010
Jun-2010,139.8,150.2,06-2010
Jul-2010,141,158,07-2010
Aug-2010,141.1,164.7,08-2010
Sep-2010,142,204.8,09-2010
Oct-2010,142.9,278.4,10-2010
Nov-2010,143.8,343.7,11-2010
Dec-2010,146,469.3,12-2010
Jan-2011,148,619.4,01-2011
Feb-2011,148.1,260.6,02-2011
Mar-2011,149.5,179.1,03-2011
Apr-2011,152.1,156.9,04-2011
May-2011,152.4,150.3,05-2011
Jun-2011,153.1,174.4,06-2011
Jul-2011,154.2,200.9,07-2011
Aug-2011,154.9,244.8,08-2011
Sep-2011,156.2,257.6,09-2011
Oct-2011,157,231.3,10-2011
Nov-2011,157.4,222.9,11-2011
Dec-2011,157.3,180.1,12-2011
Jan-2012,158.2,151,01-2012
Feb-2012,158.8,133.8,02-2012
Mar-2012,160.4,136,03-2012
Apr-2012,162.9,139.6,04-2012
May-2012,163.4,138.2,05-2012
Jun-2012,164.2,157.9,06-2012
Jul-2012,165.3,180.7,07-2012
Aug-2012,166.9,194.1,08-2012
Sep-2012,168.4,194,09-2012
Oct-2012,168.1,210.2,10-2012
Nov-2012,168.3,259.8,11-2012
Dec-2012,168.3,311.2,12-2012
Jan-2013,169.8,340,01-2013
Feb-2013,170.4,377.8,02-2013
Mar-2013,170.1,286.6,03-2013
Apr-2013,171.3,266.4,04-2013
May-2013,171.4,268.5,05-2013
Jun-2013,173.2,339.1,06-2013
Jul-2013,175.5,445.3,07-2013
Aug-2013,179,723.1,08-2013
Sep-2013,180.7,845.6,09-2013
Oct-2013,180.7,826.7,10-2013
Nov-2013,181.5,782.4,11-2013
Dec-2013,179.6,430.4,12-2013
Jan-2014,179,341.6,01-2014
Feb-2014,179.5,273.9,02-2014
Mar-2014,180.3,243.6,03-2014
Apr-2014,180.8,238.2,04-2014
May-2014,182,259.2,05-2014
Jun-2014,183,300.4,06-2014
Jul-2014,185,408.5,07-2014
Aug-2014,185.9,401,08-2014
Sep-2014,185,354.7,09-2014
Oct-2014,183.7,338.9,10-2014
Nov-2014,181.2,349.8,11-2014
Dec-2014,178.7,345.6,12-2014
Jan-2015,177.3,330.2,01-2015
Feb-2015,175.6,345,02-2015
Mar-2015,176.1,332.5,03-2015
Apr-2015,176.4,309.6,04-2015
May-2015,178,316.6,05-2015
Jun-2015,179.1,357.7,06-2015
Jul-2015,177.6,406.5,07-2015
Aug-2015,176.5,699.5,08-2015
Sep-2015,176.5,782.8,09-2015
Oct-2015,176.9,642.3,10-2015
Nov-2015,177.5,505.5,11-2015
Dec-2015,176.8,408.9,12-2015
Jan-2016,175.4,354.8,01-2016
Feb-2016,174.1,309.8,02-2016
Mar-2016,175.3,273.6,03-2016
Apr-2016,177.8,254.2,04-2016
May-2016,180.2,247.9,05-2016
Jun-2016,182.9,255.4,06-2016
Jul-2016,184.2,259,07-2016
Aug-2016,183.3,250.5,08-2016
Sep-2016,183.2,230.2,09-2016
Oct-2016,183.6,218,10-2016
Nov-2016,183.5,245.1,11-2016
Dec-2016,183.3,256.8,12-2016
Jan-2017,185.1,252.5,01-2017
Feb-2017,185.5,251.4,02-2017
Mar-2017,185.3,244.1,03-2017
