2006-09-01,2006-10-31
2007-01-01,2007-03-31
2007-04-01,2007-05-31
2007-09-01,2007-10-31
2008-01-01,2008-03-31
2008-04-01,2008-05-31
2008-09-01,2008-10-31
2009-01-01,2009-03-31
2009-04-01,2009-05-31
2009-09-01,2009-10-31
2010-01-01,2010-03-31
2010-04-01,2010-05-31
2010-09-01,2010-10-31
2011-01-01,2011-03-31
2011-04-01,2011-05-31
2011-09-01,2011-10-31
2012-01-01,2012-03-31
2012-04-01,2012-05-31
2012-09-01,2012-10-31
2013-01-01,2013-03-31
2013-04-01,2013-05-31
2013-09-01,2013-10-31
2014-01-01,2014-03-31
2014-04-01,2014-05-31
2014-09-01,2014-10-31
2015-01-01,2015-03-31
